"totmou","totrev","creditcd","eqpdays","Customer_ID"
7269,906.58,"Y",371,1082423
13552,1172.25,"N",83,1069232
4152,577.39,"Y",675,1031705
1863,294.26,"Y",218,1089806
4155,433.16,"N",222,1076695
5441,578.8,"Y",68,1091652
7294,1495.18,"Y",460,1043846
4395,668.23,"N",333,1088967
11544,1012.64,"Y",498,1045239
3751,1199.89,"Y",592,1046584
288,374.98,"Y",284,1076771
2030,1026.31,"Y",439,1057800
1928,396.78,"Y",261,1083737
4078,1257.05,"Y",1019,1008539
4874,246.77,"Y",507,1056697
810,240.94,"N",131,1097730
4411,1252.91,"Y",741,1020126
2781,590.26,"Y",276,1078557
24069,2129.74,"Y",199,1018015
284,825.15,"Y",4,1016607
5960,1902.45,"Y",809,1015068
1330,898.34,"Y",877,1013855
12625,992.67,"Y",552,1044329
10194,1089.04,"N",209,1088984
9223,1452.24,"N",745,1029191
5699,1052.28,"Y",109,1045505
3706,734.3,"Y",255,1021478
9195,959.63,"N",486,1040941
1489,982.18,"Y",958,1005998
6282,729.54,"Y",357,1064411
6721,926.03,"Y",893,1016302
6346,1453.43,"Y",460,1013751
1834,610.87,"Y",575,1029380
9703,952.3,"N",135,1091059
36302,5020.37,"Y",257,1008208
1989,388.85,"N",206,1091061
12620,1959.49,"Y",509,1023685
1502,690.12,"Y",603,1035097
59449,3531.09,"Y",380,1015658
11271,671.8,"N",440,1068005
2066,499.82,"N",168,1055064
3385,428.99,"N",311,1091273
21518.05,2769.67,"Y",657,1001867
1438,445.47,"Y",304,1062755
5684,857.65,"",244,1072218
10517,1108,"N",307,1056368
2842,606.76,"Y",564,1032592
925,373.12,"",344,1066597
5124,652.27,"N",377,1068315
21991,2809.08,"Y",241,1005704
2524,196.84,"N",580,1047767
3981,643.93,"Y",331,1068378
4957,826.92,"Y",790,1013047
4120,1186.64,"Y",902,1011089
9121,814.08,"N",71,1045750
9275,536.59,"N",126,1076112
4787,1173.96,"Y",333,1076198
1737,522.76,"Y",403,1056196
7736,1348.68,"Y",245,1027338
10267,804.71,"Y",353,1086911
4060,503.72,"Y",340,1088347
2097,1421.31,"Y",569,1007086
3639,276.21,"Y",111,1054933
7533,1250.63,"Y",641,1028649
1636,543.83,"Y",363,1085074
4210,1028.72,"N",428,1051671
5871,468.14,"Y",254,1053959
15067,1705.5,"Y",45,1027630
3727,1629.76,"Y",566,1049266
2038,1000.84,"N",796,1019146
2152,828.12,"Y",461,1048761
2892,1102.53,"Y",219,1002366
6675,803.92,"Y",121,1028772
3275,324.41,"Y",318,1070208
14502,1776.55,"N",748,1019471
1320,445.91,"Y",325,1089778
2863,809.41,"Y",618,1019639
9213,1141.79,"N",420,1046932
18750,1485.02,"Y",534,1046285
8167,672.36,"N",332,1068224
2022,815.4,"N",661,1018335
6047,545.66,"Y",40,1089902
4668,873.59,"Y",408,1055525
6648,590.21,"N",295,1074220
9579,1261.47,"Y",194,1051859
1343,417.31,"Y",324,1059340
3456,514.72,"Y",18,1071184
3187,590.87,"Y",16,1062599
3714,691.67,"Y",257,1048824
3841,998.41,"Y",931,1007540
2293,753.49,"Y",578,1047944
17206,919.49,"N",114,1011210
1457,965.14,"Y",697,1017236
3968,464.62,"N",381,1079315
1566,492.35,"Y",321,1090228
612,1015.33,"Y",725,1021284
4707,1692.76,"Y",345,1004669
26249,2254.27,"N",144,1049782
5845,1338.98,"Y",459,1042810
6410,769.04,"Y",136,1063964
2664,588.5,"Y",332,1057553
11980,725.05,"Y",299,1032537
2230,588.61,"N",543,1040496
8190,1190.5,"N",235,1050396
557,502.58,"Y",982,1099007
1177,462.56,"Y",460,1065065
12698,1450.7,"Y",408,1033811
1312,488.51,"Y",491,1059746
2242,1494.23,"Y",940,1011394
14566,1579.38,"N",84,1035282
3130,1196.17,"Y",216,1090168
6112,702.7,"Y",381,1079231
6038,901.62,"Y",525,1028759
1928,1051.33,"Y",779,1016781
5886,558.61,"Y",151,1011051
2574,540.43,"N",412,1062791
8462,350.98,"Y",282,1049228
32828,2712.13,"N",184,1011205
19030,2275.21,"N",198,1010813
1481,266.54,"N",280,1077754
1702,684.68,"Y",845,1015584
4847,408.5,"Y",205,1066934
4010,496.73,"Y",374,1081581
3920,1694.4,"Y",1377,1002146
5513,431.69,"Y",502,1044749
2254,439.67,"Y",608,1025479
3541,775.37,"Y",630,1038121
14466,2243.76,"",387,1023352
11701,1919,"N",451,1013487
3641,428.78,"N",137,1091035
1739,787.4,"Y",770,1017405
6211,1368.01,"N",793,1012932
13860,1434.06,"Y",655,1034603
7659,1114.36,"Y",657,1021722
2193,446.63,"Y",211,1090513
26547,3023,"N",142,1099059
34375,5251.98,"Y",288,1015715
9311,434.32,"N",229,1085015
2097,899.78,"Y",806,1018201
15127,1794.77,"Y",522,1028674
7263,2122.78,"N",879,1099655
12649,1661.35,"Y",364,1025682
1321,516.89,"Y",530,1041906
12812,1511.97,"Y",3,1060840
6701,865.52,"Y",533,1046369
7440,1743.68,"Y",915,1099039
3784,534.39,"Y",317,1060712
18088,1636.06,"Y",436,1098085
31645,1880.65,"N",131,1079795
7943,1245.37,"Y",81,1007795
380,144.15,"Y",333,1076178
1973,543.95,"N",406,1063735
1479,195.57,"Y",306,1062478
485,141.04,"Y",323,1055853
7960,1233.95,"N",185,1019827
5264,1000.63,"N",136,1052250
3204,1181.96,"Y",807,1023169
3258,750.8,"Y",735,1015682
6619,865.61,"N",554,1033966
4872,1580.9,"Y",489,1040133
21199,1927.83,"Y",451,1023124
2820,519.21,"Y",488,1060278
5889,732.81,"Y",203,1082182
2432,733.01,"Y",631,1023631
13702,1035.06,"Y",68,1091010
6452,431.71,"Y",307,1083816
8871,730.63,"Y",353,1065210
11249,1216.61,"Y",106,1039541
6908,1865.3,"Y",65,1038161
5458,778.72,"Y",574,1029772
3317,1682.33,"Y",96,1005423
517,165.64,"Y",1638,1097898
6407,312.85,"N",307,1062289
7402,2008.64,"Y",812,1017691
9695,1505.25,"N",332,1089051
14068,772.67,"N",38,1087178
1978,259.11,"Y",288,1065784
722,328.69,"Y",325,1089735
13877,498.01,"N",244,1091896
14793,510.22,"Y",268,1094422
6592,1475.35,"Y",880,1013735
2681,764.26,"Y",674,1038362
36563,2053.3,"Y",81,1024580
3921,353.14,"N",191,1097212
4312,935.87,"N",458,1065562
461,258.67,"N",207,1094369
7846,919.68,"Y",348,1063658
5218,298.25,"Y",470,1048099
17673,1246.41,"Y",140,1047382
3354,529.71,"N",378,1079861
4754,454.9,"Y",15,1062868
1152,188.76,"Y",341,1066989
2044,868.49,"N",461,1054447
10369,1504.74,"N",198,1055172
176,631.51,"Y",1121,1006223
10227,671.11,"Y",500,1057695
293,302.77,"Y",408,1055498
28228,2307.75,"N",175,1035849
11915,1370.91,"Y",228,1052776
11218,648.84,"Y",13,1080979
71,102.32,"Y",198,1096953
9891,2064.43,"Y",288,1017192
2443,250.32,"Y",41,1057649
11940,1172.16,"N",776,1025580
1005,574.09,"Y",725,1033727
12571,1019.76,"N",676,1020389
3138,425.8,"Y",193,1095059
1705,601.53,"Y",569,1031092
3005,1235.29,"Y",1045,1007025
4115,663.07,"Y",97,1093205
7739,975.34,"Y",544,1040422
1701,247.76,"Y",504,1044645
1873,418.1,"N",374,1061517
3580,1362,"Y",211,1015533
5550,1638.53,"Y",675,1020430
7722,729.2,"Y",320,1079122
16787,1520.18,"Y",405,1073746
9406,786.09,"Y",383,1059857
513,527.79,"N",534,1035552
13477,1898.71,"N",777,1009778
18698,2604.45,"N",610,1019236
1832,487.09,"Y",771,1026030
2228,510.52,"Y",272,1088924
2821,483.02,"N",362,1085161
16055,1457.49,"Y",447,1050744
22358,2100.18,"N",191,1024718
2189,712.42,"N",495,1058824
959,105.24,"Y",25,1074541
331,217.04,"N",507,1044265
16079,2557.39,"Y",234,1012204
30744,2251.44,"Y",396,1007984
11173,1335.45,"N",682,1029607
216,588.66,"N",253,1078433
35613,3296.49,"Y",105,1002619
1162,431.73,"N",432,1050920
5557,350.22,"N",185,1086639
3094,567.84,"Y",733,1032524
1648,294.44,"N",206,1094469
3250,397.95,"Y",327,1089547
576,254.52,"Y",212,1078984
2884,933.18,"Y",734,1023989
1910,1063.6,"Y",119,1026898
9608,876.6,"N",8,1075560
3005,717.04,"Y",241,1030527
5351,1120.45,"Y",990,1007748
4154,700.38,"Y",461,1042656
1859,661.86,"Y",403,1074063
1611,724.29,"Y",310,1082548
36644,3248.49,"Y",399,1065069
5556,1132.47,"Y",522,1047480
4932,738.61,"N",214,1065051
1319,287.7,"Y",229,1075065
688,321.43,"Y",233,1088350
2504,756.79,"",495,1045521
3774,1483.88,"Y",1050,1001932
5738,1094.67,"Y",573,1026798
7067,872.51,"N",18,1071222
4713,347.65,"Y",546,1045008
3494,604.26,"Y",454,1066125
3223,328.44,"Y",194,1097055
238,284.55,"Y",319,1090433
7233,1363.34,"Y",239,1006388
14967,1099.77,"Y",52,1071057
496,284.28,"Y",261,1083624
12032,1544.09,"Y",-3,1039062
14528,1836.25,"Y",348,1006422
2529,1391.7,"Y",426,1046324
11658,1163.69,"N",473,1041363
16408,1621.89,"N",675,1029681
1977,554.33,"Y",347,1066152
728,542.42,"Y",804,1018300
6616,428.01,"Y",433,1059030
3995,746.18,"Y",492,1018980
11464,1336.29,"N",556,1039221
4189,995.95,"Y",166,1022995
10224,1957.83,"Y",490,1051131
2357,550.13,"N",359,1085773
15342,1453.32,"Y",643,1027191
10511,1550.7,"N",900,1008888
867,377.22,"Y",397,1075392
7659,1765.72,"Y",694,1035670
3867,351.6,"Y",330,1068435
3455,290.82,"Y",95,1057755
20286,2394.3,"Y",650,1003786
35575,3234.65,"N",110,1020752
2247,452.02,"N",188,1067870
2432,93.05,"N",315,1080605
4248,1132.52,"Y",437,1099334
492,184.28,"Y",376,1068450
4298,500.89,"Y",62,1054066
1875,786.36,"Y",98,1042885
1354,392.57,"Y",317,1065402
14334,1599.56,"Y",370,1005411
2234,400.01,"Y",235,1088085
4472,601.44,"Y",8,1087888
1922,461.01,"Y",301,1092224
11601,1114.67,"Y",340,1088306
8200,846.23,"Y",31,1046760
611,421.92,"Y",1258,1098102
3802,678.46,"Y",200,1036553
934,532.91,"Y",530,1041879
7428,905.98,"N",234,1088241
2670,621.75,"Y",339,1064715
469,365.25,"N",237,1092474
442,473.26,"N",351,1072414
321,283.04,"N",200,1096855
2080,1094.49,"Y",740,1030345
5741,855.18,"Y",334,1057302
8297,1442.28,"Y",425,1070297
280,970.76,"Y",602,1033802
13353,754.72,"Y",201,1083101
3710,706.06,"Y",244,1083107
7313,1340.29,"Y",322,1069709
5791,828.59,"Y",608,1034736
16284,661.24,"Y",580,1047699
3978,1229.61,"Y",159,1003041
22700,2431.02,"N",199,1069086
1241,745.84,"Y",736,1031618
5748,715.5,"Y",679,1030534
6706,724.62,"N",277,1067275
3755,843.45,"N",205,1091134
3177,1401.43,"Y",242,1019071
17245,1459.7,"Y",336,1028216
2405,322.54,"Y",197,1096980
6142,805.94,"Y",559,1033407
15284,945.96,"N",4,1036707
1638,659.24,"Y",569,1031169
10323,1547.01,"Y",11,1016046
35754,5029.68,"Y",813,1017671
3125,320.44,"Y",303,1063027
6113,1474.13,"Y",686,1037262
3213,526.06,"N",361,1063689
3127,624.32,"Y",461,1064926
4879,1010.34,"Y",400,1012613
3284,1132.49,"Y",128,1055424
2838,459.05,"N",310,1082424
2871,586.75,"Y",400,1056712
2680,400.37,"Y",306,1084123
16529,1415.19,"N",170,1056945
6794,815.65,"Y",708,1017425
3993,467.95,"Y",483,1060351
4784,1239.77,"Y",763,1011689
21534,2340.26,"N",182,1049457
4666,302.43,"N",351,1065467
19756,2521.62,"Y",308,1018270
4714,915.28,"N",356,1064705
11798,966.58,"Y",536,1035416
3911,774.84,"Y",452,1055842
2062,759.57,"Y",729,1024391
15190,1165.05,"N",57,1066999
20553,1061.75,"N",48,1007332
13828,1784.53,"N",515,1043981
2235,122.45,"Y",281,1077541
2613,671.7,"Y",934,1097679
2926,338.92,"Y",305,1062662
8141,580.49,"Y",306,1077297
45447,4034.72,"Y",115,1002013
16700,2667.78,"Y",330,1068448
16509,2283.89,"Y",1170,1003795
12225,1937.63,"Y",82,1024220
5644,1067.98,"Y",132,1088995
9147,489.94,"Y",364,1084884
13138,1112.52,"Y",550,1034322
9891,722.09,"Y",122,1064729
655,238.13,"N",199,1083897
6790,1437.92,"N",427,1015137
2855,312.63,"Y",351,1051380
9630,1036.15,"N",393,1057764
11215,1534.7,"Y",125,1011113
8379,1015.66,"N",175,1009905
1548,371.81,"N",274,1079311
8639,992.72,"Y",83,1031281
5071,919.2,"Y",52,1050678
821,608.34,"Y",371,1034511
5031,845.54,"Y",364,1099670
5868,714.96,"Y",139,1038669
24468,959.44,"N",322,1078621
2596,764.58,"Y",126,1089748
3038,592.84,"Y",148,1072942
7696,1162.9,"Y",418,1047165
19771,1559.83,"Y",196,1015789
7258,249.43,"N",248,1086436
8000,1461.12,"Y",518,1043233
2140,1139.99,"Y",727,1016106
2799,1182.87,"Y",730,1015970
14896,866.34,"Y",481,1052205
6202,1116.01,"Y",678,1030822
5846,1184.63,"Y",345,1073424
2489,749.8,"Y",495,1026134
2861,339.37,"Y",295,1064429
7487,829.22,"Y",464,1030157
6317,682.11,"N",352,1065412
6806,545.84,"Y",673,1032256
1997,259.92,"Y",264,1082406
6417,739.23,"N",95,1063175
9038,1301.55,"Y",648,1027652
4567,650.34,"Y",447,1050824
10073,850.57,"Y",390,1074795
6958,912.87,"Y",505,1038366
4811,1173.6,"N",1101,1007489
13727,768.88,"Y",327,1058486
8752,1012.6,"Y",318,1090520
2599,363.58,"N",351,1065512
2576,646.37,"Y",592,1035941
3178,538.57,"N",185,1097488
242,450.78,"Y",341,1074162
2860,842.66,"N",799,1023699
18123,1200.66,"Y",48,1024103
3268,576.75,"Y",324,1069367
1641,740.06,"Y",940,1009771
12627,1536.47,"Y",129,1022453
12209,2179.93,"Y",91,1035132
1650,670.42,"N",20,1037072
306,789.2,"Y",699,1027106
1150,1801.63,"Y",727,1000785
5520,987,"Y",868,1014283
1904,586.94,"Y",290,1035477
10504,1487.05,"Y",60,1087543
2050,364.15,"Y",493,1045676
4789,926.01,"Y",309,1091501
13374,2902.8,"Y",358,1064221
5530,852.49,"Y",396,1049364
29,371.98,"Y",689,1019091
30000,2265.96,"Y",689,1023906
10440,2008.52,"Y",504,1008422
7443,1550.02,"Y",1100,1007567
3461,736.93,"Y",778,1020796
76260,5526.11,"",361,1001813
4070,1174.73,"Y",682,1019935
1687,519.4,"Y",74,1032539
7868,814.49,"Y",386,1078031
5283,582.02,"Y",239,1067422
12667,1745.56,"N",442,1050577
4512,624.05,"Y",70,1091266
1206,549.25,"Y",334,1088872
1047,790.14,"Y",638,1041810
6882,866.02,"Y",277,1030346
2147,692.9,"N",486,1044230
5757,1162.62,"Y",13,1027304
5045,1064.01,"Y",430,1067140
14611,2191.96,"",705,1017656
2154,740.71,"N",131,1024124
1557,283.22,"N",295,1064472
9206,1685.32,"N",111,1041213
10206,1396.71,"N",992,1009534
10808,1188.17,"N",175,1035526
9876,961.77,"N",372,1043720
22072,1609.62,"Y",288,1020073
6162,1091.79,"Y",995,1007377
31747,2873.2,"Y",391,1042128
10529,1659.9,"Y",430,1035814
2307,1227.89,"Y",251,1005730
1010,146.27,"N",342,1066788
14880,1875.96,"Y",483,1017744
5811,485.9,"Y",189,1096486
8359,1548.55,"Y",367,1084183
8253,920.31,"Y",81,1050240
1311,361.33,"N",346,1055472
7168,573.09,"N",131,1070376
8352,1148.95,"N",95,1092860
1239,412.59,"Y",260,1077764
2256,437.48,"N",371,1082770
56464,4895.29,"N",177,1016407
5508,139.11,"Y",337,1075124
14881,1261.03,"N",230,1069133
24601,1681.7,"N",421,1027315
4167,526.18,"Y",234,1073848
4523,304.28,"",119,1096542
4778,1076.86,"Y",409,1037162
9729,1254.21,"Y",25,1018653
15880,1018.44,"N",345,1055646
2714,837.95,"Y",1076,1008664
1248,344.32,"",295,1086331
10157,1888.45,"Y",1019,1009116
9884,1141.85,"Y",13,1037309
19270,2066.18,"Y",226,1038579
1266,315.67,"Y",233,1074168
14592,1320.21,"N",99,1041407
10345,1228.23,"N",1,1087633
2129,325.5,"Y",247,1071743
7972,1291.9,"N",571,1048684
114,283.51,"Y",292,1064918
5013,874.9,"Y",364,1084796
40721,3134.28,"N",660,1021576
6603,577.03,"Y",549,1031052
4481,760.52,"Y",574,1042140
4211,578.22,"N",38,1054125
5975,424.6,"N",458,1054882
5645,1338.05,"Y",707,1018139
9533,1288.33,"Y",53,1019593
13466,1640.9,"Y",246,1086592
4474.02,1430.15,"Y",616,1000398
15497,945.35,"Y",371,1052441
12401,2273.05,"N",351,1028714
4201,734.63,"Y",674,1032046
9299,809.85,"N",228,1096024
4796,718.78,"Y",334,1075808
7619,1010.65,"Y",736,1023880
4508,492.68,"Y",322,1090135
462,786.37,"Y",792,1012974
12505,1307.47,"N",470,1048051
4782,611.68,"Y",252,1081483
10567,1380.22,"Y",635,1030002
12412,1502.85,"N",781,1016603
230,470.43,"Y",1067,1098739
2201,323.8,"N",325,1069208
2023,964.78,"Y",517,1047927
6493,763.87,"N",483,1061215
1853,235,"Y",507,1049122
5751,1476.6,"Y",91,1010948
3469,1251.63,"N",847,1013257
16052,1769.66,"N",465,1004085
16764,1665,"Y",516,1037393
2042,329.73,"Y",200,1083443
2827,645.51,"N",276,1067409
1055,1274.15,"Y",384,1059638
607,338.51,"Y",263,1094482
5862,967.46,"Y",732,1015855
19589,1897.68,"N",176,1087379
1025,180.92,"Y",406,1063745
3841,564.02,"N",384,1078325
4841,635.36,"Y",286,1047520
2808,600.13,"N",338,1056729
5456,653.17,"Y",44,1069917
9425,1744.17,"N",383,1067472
15395,1540.35,"Y",231,1074622
1481,586.44,"Y",531,1041817
7844,1148.18,"N",85,1025747
3659,932.01,"Y",740,1020240
4040,752.32,"Y",144,1046882
5196,471.27,"Y",73,1086792
10451,996.29,"N",329,1058076
9490,1198.14,"Y",493,1059172
3279,638.89,"N",405,1055888
2722,839.97,"N",483,1051993
2898,503.67,"Y",206,1091118
2089,1250.33,"Y",1182,1002837
9840,838.68,"Y",495,1039182
2769,945.38,"N",588,1046960
5297,872.55,"Y",478,1058333
923,762.11,"Y",441,1051501
15086,1567.66,"N",213,1066029
3878,580.36,"N",185,1026507
4481,1317.88,"Y",754,1014707
902,707,"Y",713,1022227
3373,289.64,"Y",315,1070770
1591,523.69,"Y",274,1094080
11850,1441.97,"Y",204,1038104
738,163.58,"N",262,1083416
6688.02,1547.79,"Y",1500,1001133
2248,115.77,"N",184,1086805
5160,810.04,"N",368,1059238
2435,828.76,"Y",283,1039146
1722,452.95,"Y",325,1089728
2411,551.02,"N",39,1089425
6608,708.48,"N",54,1088126
12082,1567.72,"Y",854,1015104
19842,3171.39,"N",387,1001979
1451,916.51,"Y",716,1099161
4965,742.48,"Y",462,1042497
984,1271.84,"Y",1090,1005263
2052,325.36,"Y",184,1089543
1629,319.69,"",290,1075263
2006,933.57,"Y",555,1033795
282,327.36,"Y",420,1046945
9989,758.01,"Y",456,1024084
2863,645.88,"Y",260,1090242
5038,700.46,"Y",11,1085363
5290,650.49,"N",127,1075691
25943,2487.84,"Y",48,1011005
22629,1986.8,"N",91,1019312
3725,949.02,"N",205,1026740
5369,183.3,"N",336,1075421
3906,1233.16,"Y",608,1097773
2022,1132.69,"Y",584,1036711
7304,967.75,"N",264,1050752
2866,802.71,"N",748,1014989
5352,1796.53,"Y",865,1018329
431,580.83,"Y",264,1089792
4077,931.25,"Y",793,1019547
844,498.1,"Y",336,1057010
4209,462.5,"Y",93,1054387
1212,678.69,"Y",668,1038869
10534,2054.86,"N",138,1009505
3537,545.17,"Y",376,1080558
12644,1250.05,"Y",114,1080576
23120,3460.38,"Y",341,1008625
6208,417.2,"N",198,1084152
9927,1057.02,"Y",71,1062316
2347,469.55,"N",251,1095203
11288,1463.87,"Y",344,1022624
655,199.68,"Y",240,1095708
4234,1073.29,"N",936,1007136
6853,1367.91,"Y",237,1047884
11792,626.96,"N",282,1066629
7737,610.4,"Y",423,1061002
