"custcare_Mean","new_cell","area","Customer_ID","creditcd"
3.666666667,"U","ATLANTIC SOUTH AREA",1069232,"N"
0,"U","ATLANTIC SOUTH AREA",1043846,"Y"
0,"N","ATLANTIC SOUTH AREA",1008539,"Y"
0,"U","ATLANTIC SOUTH AREA",1068315,"N"
1.666666667,"U","ATLANTIC SOUTH AREA",1074220,"N"
1.666666667,"U","ATLANTIC SOUTH AREA",1079315,"N"
2,"U","ATLANTIC SOUTH AREA",1049228,"Y"
0.666666667,"N","ATLANTIC SOUTH AREA",1044749,"Y"
0,"U","ATLANTIC SOUTH AREA",1046369,"Y"
4.666666667,"N","ATLANTIC SOUTH AREA",1039541,"Y"
0,"U","ATLANTIC SOUTH AREA",1061517,"N"
13.33333333,"Y","ATLANTIC SOUTH AREA",1059857,"Y"
0,"U","ATLANTIC SOUTH AREA",1088924,"Y"
2.666666667,"Y","ATLANTIC SOUTH AREA",1050744,"Y"
0,"U","ATLANTIC SOUTH AREA",1026898,"Y"
0,"U","ATLANTIC SOUTH AREA",1074063,"Y"
0,"Y","ATLANTIC SOUTH AREA",1051131,"Y"
2.666666667,"U","ATLANTIC SOUTH AREA",1088085,"Y"
12.33333333,"U","ATLANTIC SOUTH AREA",1063027,"Y"
1.333333333,"U","ATLANTIC SOUTH AREA",1082424,"N"
6.666666667,"U","ATLANTIC SOUTH AREA",1007332,"N"
0,"U","ATLANTIC SOUTH AREA",1087543,"Y"
14.33333333,"Y","ATLANTIC SOUTH AREA",1070376,"N"
10,"U","ATLANTIC SOUTH AREA",1027315,"N"
9.333333333,"U","ATLANTIC SOUTH AREA",1087633,"N"
0,"U","ATLANTIC SOUTH AREA",1071743,"Y"
9,"Y","ATLANTIC SOUTH AREA",1048684,"N"
0,"U","ATLANTIC SOUTH AREA",1084796,"Y"
41.66666667,"U","ATLANTIC SOUTH AREA",1096024,"N"
8.333333333,"U","ATLANTIC SOUTH AREA",1087379,"N"
14.33333333,"U","ATLANTIC SOUTH AREA",1074622,"Y"
0,"U","ATLANTIC SOUTH AREA",1025747,"N"
0.666666667,"N","ATLANTIC SOUTH AREA",1086792,"Y"
0.333333333,"U","ATLANTIC SOUTH AREA",1059238,"N"
4,"U","ATLANTIC SOUTH AREA",1089425,"N"
0.666666667,"Y","ATLANTIC SOUTH AREA",1050752,"N"
1.333333333,"U","ATLANTIC SOUTH AREA",1084152,"N"
0,"U","ATLANTIC SOUTH AREA",1095203,"N"
3.666666667,"U","ATLANTIC SOUTH AREA",1066703,"Y"
0,"U","ATLANTIC SOUTH AREA",1096240,"Y"
0,"Y","ATLANTIC SOUTH AREA",1083308,"Y"
4.666666667,"U","ATLANTIC SOUTH AREA",1058035,"N"
3.333333333,"U","ATLANTIC SOUTH AREA",1093201,""
26,"U","ATLANTIC SOUTH AREA",1073469,"Y"
0.666666667,"U","ATLANTIC SOUTH AREA",1076965,"N"
0,"Y","ATLANTIC SOUTH AREA",1071492,"Y"
4,"U","ATLANTIC SOUTH AREA",1091319,""
7,"U","ATLANTIC SOUTH AREA",1081973,"N"
0.666666667,"U","ATLANTIC SOUTH AREA",1048945,"Y"
22.33333333,"U","ATLANTIC SOUTH AREA",1064445,"N"
6.333333333,"U","ATLANTIC SOUTH AREA",1040523,"N"
0.666666667,"U","ATLANTIC SOUTH AREA",1089539,"N"
0,"U","ATLANTIC SOUTH AREA",1066585,"N"
6.333333333,"U","ATLANTIC SOUTH AREA",1068578,"N"
0,"U","ATLANTIC SOUTH AREA",1093040,"Y"
7.333333333,"N","ATLANTIC SOUTH AREA",1037327,"N"
0,"U","ATLANTIC SOUTH AREA",1065084,"Y"
2.333333333,"U","ATLANTIC SOUTH AREA",1096154,"N"
0,"N","ATLANTIC SOUTH AREA",1082715,"Y"
0.666666667,"U","ATLANTIC SOUTH AREA",1048526,"N"
0.666666667,"U","ATLANTIC SOUTH AREA",1077152,"Y"
0,"U","ATLANTIC SOUTH AREA",1068956,"Y"
0.666666667,"N","ATLANTIC SOUTH AREA",1047629,"N"
0,"U","ATLANTIC SOUTH AREA",1019429,"Y"
0,"U","ATLANTIC SOUTH AREA",1077531,"Y"
0.666666667,"N","ATLANTIC SOUTH AREA",1043072,"Y"
21,"Y","ATLANTIC SOUTH AREA",1026264,"Y"
0,"N","ATLANTIC SOUTH AREA",1041863,"N"
16.66666667,"N","ATLANTIC SOUTH AREA",1010710,"N"
0,"U","ATLANTIC SOUTH AREA",1068643,"N"
5.333333333,"N","ATLANTIC SOUTH AREA",1037985,"Y"
3.333333333,"U","ATLANTIC SOUTH AREA",1048098,"Y"
0,"Y","ATLANTIC SOUTH AREA",1052084,"Y"
0.666666667,"U","ATLANTIC SOUTH AREA",1055197,"Y"
1.333333333,"U","ATLANTIC SOUTH AREA",1047947,"Y"
0,"U","ATLANTIC SOUTH AREA",1082940,"Y"
3.333333333,"U","ATLANTIC SOUTH AREA",1086851,"N"
0,"U","ATLANTIC SOUTH AREA",1027377,"N"
0,"U","ATLANTIC SOUTH AREA",1068363,"N"
3.666666667,"Y","ATLANTIC SOUTH AREA",1044335,"Y"
0,"U","ATLANTIC SOUTH AREA",1082900,"N"
0.333333333,"U","ATLANTIC SOUTH AREA",1037099,"Y"
3.333333333,"U","ATLANTIC SOUTH AREA",1042068,"N"
0.666666667,"U","ATLANTIC SOUTH AREA",1061917,"N"
2.333333333,"U","ATLANTIC SOUTH AREA",1069191,"N"
0,"N","ATLANTIC SOUTH AREA",1035842,"N"
0,"Y","ATLANTIC SOUTH AREA",1046057,"Y"
0,"Y","ATLANTIC SOUTH AREA",1045056,"Y"
0,"N","ATLANTIC SOUTH AREA",1045688,"N"
0,"N","ATLANTIC SOUTH AREA",1055977,"Y"
1.666666667,"U","ATLANTIC SOUTH AREA",1040259,"Y"
3,"N","ATLANTIC SOUTH AREA",1055559,"N"
0,"U","ATLANTIC SOUTH AREA",1054826,"Y"
0,"U","ATLANTIC SOUTH AREA",1065278,"Y"
0.333333333,"U","ATLANTIC SOUTH AREA",1027444,"N"
0,"Y","ATLANTIC SOUTH AREA",1065090,"N"
0,"U","ATLANTIC SOUTH AREA",1066182,""
0,"U","ATLANTIC SOUTH AREA",1073483,"Y"
0.666666667,"Y","ATLANTIC SOUTH AREA",1093135,"Y"
0,"U","ATLANTIC SOUTH AREA",1084015,"Y"
0,"U","ATLANTIC SOUTH AREA",1065208,""
4.333333333,"U","ATLANTIC SOUTH AREA",1022723,"Y"
0,"U","ATLANTIC SOUTH AREA",1023840,"Y"
2.666666667,"U","ATLANTIC SOUTH AREA",1046856,"Y"
0,"U","ATLANTIC SOUTH AREA",1082368,"N"
1,"U","ATLANTIC SOUTH AREA",1066510,"N"
0,"N","ATLANTIC SOUTH AREA",1036850,"Y"
0.333333333,"U","ATLANTIC SOUTH AREA",1033304,"N"
0,"U","ATLANTIC SOUTH AREA",1071036,"Y"
0,"N","ATLANTIC SOUTH AREA",1034786,""
0,"Y","ATLANTIC SOUTH AREA",1066725,"Y"
0,"U","ATLANTIC SOUTH AREA",1093283,"N"
1.333333333,"U","ATLANTIC SOUTH AREA",1096664,"Y"
0,"Y","ATLANTIC SOUTH AREA",1073837,"Y"
0,"U","ATLANTIC SOUTH AREA",1010930,"Y"
8,"U","ATLANTIC SOUTH AREA",1028889,"Y"
0,"Y","ATLANTIC SOUTH AREA",1060079,"Y"
0.666666667,"N","ATLANTIC SOUTH AREA",1012515,"Y"
2,"U","ATLANTIC SOUTH AREA",1045314,"N"
0,"U","ATLANTIC SOUTH AREA",1054421,"Y"
4.666666667,"U","ATLANTIC SOUTH AREA",1082626,"N"
0.333333333,"U","ATLANTIC SOUTH AREA",1063965,"N"
0.333333333,"U","ATLANTIC SOUTH AREA",1082695,"N"
0,"U","ATLANTIC SOUTH AREA",1064002,"N"
2.333333333,"U","ATLANTIC SOUTH AREA",1076630,"N"
0.666666667,"U","ATLANTIC SOUTH AREA",1035805,"Y"
0.666666667,"U","ATLANTIC SOUTH AREA",1082224,"Y"
0,"U","ATLANTIC SOUTH AREA",1030682,"Y"
0,"Y","ATLANTIC SOUTH AREA",1090284,"N"
2,"Y","ATLANTIC SOUTH AREA",1090811,"N"
0,"Y","ATLANTIC SOUTH AREA",1043733,"N"
2.333333333,"U","ATLANTIC SOUTH AREA",1083133,"N"
0.666666667,"U","ATLANTIC SOUTH AREA",1015362,"Y"
2,"U","ATLANTIC SOUTH AREA",1085258,"N"
0,"U","ATLANTIC SOUTH AREA",1022184,"N"
0,"U","ATLANTIC SOUTH AREA",1029572,"N"
6,"U","ATLANTIC SOUTH AREA",1071842,"Y"
0.333333333,"U","ATLANTIC SOUTH AREA",1040869,"N"
2.333333333,"U","ATLANTIC SOUTH AREA",1058866,"Y"
0,"U","ATLANTIC SOUTH AREA",1092166,"Y"
0,"U","ATLANTIC SOUTH AREA",1027715,"Y"
0,"U","ATLANTIC SOUTH AREA",1058497,"Y"
3,"Y","ATLANTIC SOUTH AREA",1023223,"Y"
0,"U","ATLANTIC SOUTH AREA",1068699,"N"
0,"U","ATLANTIC SOUTH AREA",1084162,"Y"
0,"U","ATLANTIC SOUTH AREA",1022047,"Y"
20.66666667,"U","ATLANTIC SOUTH AREA",1067073,"N"
0.666666667,"U","ATLANTIC SOUTH AREA",1014024,"N"
0.333333333,"U","ATLANTIC SOUTH AREA",1079827,"Y"
4,"U","ATLANTIC SOUTH AREA",1069002,"Y"
1.333333333,"U","ATLANTIC SOUTH AREA",1028045,"Y"
1,"N","ATLANTIC SOUTH AREA",1009046,"Y"
0,"U","ATLANTIC SOUTH AREA",1072516,"Y"
0.333333333,"Y","ATLANTIC SOUTH AREA",1020231,"Y"
0,"Y","ATLANTIC SOUTH AREA",1075518,"Y"
0,"N","ATLANTIC SOUTH AREA",1072904,"N"
2.333333333,"U","ATLANTIC SOUTH AREA",1056883,"N"
0,"U","ATLANTIC SOUTH AREA",1076131,"N"
3.333333333,"U","ATLANTIC SOUTH AREA",1047084,"Y"
1,"U","ATLANTIC SOUTH AREA",1014421,"Y"
0,"N","ATLANTIC SOUTH AREA",1044914,"N"
0.333333333,"U","ATLANTIC SOUTH AREA",1042910,"Y"
0,"U","ATLANTIC SOUTH AREA",1034826,"Y"
0,"Y","ATLANTIC SOUTH AREA",1063753,"Y"
0,"N","ATLANTIC SOUTH AREA",1017583,"Y"
0,"Y","ATLANTIC SOUTH AREA",1077166,"Y"
0,"Y","ATLANTIC SOUTH AREA",1072262,"N"
0,"U","ATLANTIC SOUTH AREA",1040104,"Y"
0,"U","ATLANTIC SOUTH AREA",1028560,"Y"
0,"U","ATLANTIC SOUTH AREA",1032218,"Y"
0,"U","ATLANTIC SOUTH AREA",1088465,"Y"
0,"U","ATLANTIC SOUTH AREA",1087713,"Y"
1.333333333,"U","ATLANTIC SOUTH AREA",1075453,"Y"
0,"N","ATLANTIC SOUTH AREA",1068317,"Y"
0,"U","ATLANTIC SOUTH AREA",1078127,"Y"
0.666666667,"U","ATLANTIC SOUTH AREA",1090085,"Y"
0,"Y","ATLANTIC SOUTH AREA",1032879,"Y"
7.666666667,"U","ATLANTIC SOUTH AREA",1042113,"N"
0,"Y","ATLANTIC SOUTH AREA",1090223,"Y"
0.333333333,"Y","ATLANTIC SOUTH AREA",1035682,"Y"
0,"U","ATLANTIC SOUTH AREA",1092873,"Y"
3.333333333,"U","ATLANTIC SOUTH AREA",1055809,"Y"
0,"U","ATLANTIC SOUTH AREA",1041100,"Y"
0,"U","ATLANTIC SOUTH AREA",1026266,"Y"
0,"U","ATLANTIC SOUTH AREA",1059527,"Y"
0,"U","ATLANTIC SOUTH AREA",1043169,"N"
3.666666667,"U","ATLANTIC SOUTH AREA",1087965,"N"
0,"Y","ATLANTIC SOUTH AREA",1060073,"Y"
18.33333333,"U","ATLANTIC SOUTH AREA",1093179,"Y"
0,"U","ATLANTIC SOUTH AREA",1063820,"Y"
0,"U","ATLANTIC SOUTH AREA",1025301,"Y"
0,"U","ATLANTIC SOUTH AREA",1064123,"Y"
0,"U","ATLANTIC SOUTH AREA",1027067,"Y"
0,"U","ATLANTIC SOUTH AREA",1054062,"N"
0,"U","ATLANTIC SOUTH AREA",1014475,"Y"
0,"U","ATLANTIC SOUTH AREA",1067758,"N"
0,"U","ATLANTIC SOUTH AREA",1071128,"Y"
0,"U","ATLANTIC SOUTH AREA",1085545,"Y"
0,"U","ATLANTIC SOUTH AREA",1022213,"Y"
0,"Y","ATLANTIC SOUTH AREA",1094631,"N"
0,"U","ATLANTIC SOUTH AREA",1086564,"Y"
4.666666667,"U","ATLANTIC SOUTH AREA",1079163,"N"
0.666666667,"U","ATLANTIC SOUTH AREA",1054954,"N"
0,"U","ATLANTIC SOUTH AREA",1082125,"N"
0,"Y","ATLANTIC SOUTH AREA",1097130,"Y"
0,"U","ATLANTIC SOUTH AREA",1064880,"Y"
0,"U","ATLANTIC SOUTH AREA",1079064,"N"
0,"U","ATLANTIC SOUTH AREA",1017913,"N"
3,"Y","ATLANTIC SOUTH AREA",1067996,"N"
5.333333333,"U","ATLANTIC SOUTH AREA",1058634,"N"
3,"U","ATLANTIC SOUTH AREA",1079901,"N"
0.666666667,"U","ATLANTIC SOUTH AREA",1084794,"Y"
6,"U","ATLANTIC SOUTH AREA",1087680,"Y"
0,"U","ATLANTIC SOUTH AREA",1048518,"N"
5.333333333,"Y","ATLANTIC SOUTH AREA",1078625,"N"
0,"U","ATLANTIC SOUTH AREA",1047639,"N"
0,"U","ATLANTIC SOUTH AREA",1003785,"Y"
0,"N","ATLANTIC SOUTH AREA",1074831,"Y"
2,"U","ATLANTIC SOUTH AREA",1037487,"Y"
0,"U","ATLANTIC SOUTH AREA",1092662,"N"
0,"Y","ATLANTIC SOUTH AREA",1072831,"N"
0.333333333,"N","ATLANTIC SOUTH AREA",1025168,"Y"
7.666666667,"U","ATLANTIC SOUTH AREA",1052504,"N"
0,"Y","ATLANTIC SOUTH AREA",1020588,"Y"
0,"N","ATLANTIC SOUTH AREA",1074994,"Y"
2.666666667,"U","ATLANTIC SOUTH AREA",1086948,"Y"
0,"U","ATLANTIC SOUTH AREA",1072808,"Y"
0.333333333,"U","ATLANTIC SOUTH AREA",1083254,"N"
0.333333333,"U","ATLANTIC SOUTH AREA",1095829,"Y"
0,"U","ATLANTIC SOUTH AREA",1081610,"Y"
0,"U","ATLANTIC SOUTH AREA",1053042,"Y"
2.333333333,"N","ATLANTIC SOUTH AREA",1084196,"N"
0,"U","ATLANTIC SOUTH AREA",1091941,"Y"
0,"U","ATLANTIC SOUTH AREA",1069461,"Y"
0,"Y","ATLANTIC SOUTH AREA",1061843,"N"
0.666666667,"U","ATLANTIC SOUTH AREA",1012210,"Y"
13.33333333,"U","ATLANTIC SOUTH AREA",1087399,"N"
0,"U","ATLANTIC SOUTH AREA",1046236,"Y"
2.666666667,"U","ATLANTIC SOUTH AREA",1083535,"N"
0,"Y","ATLANTIC SOUTH AREA",1015097,"Y"
0,"Y","ATLANTIC SOUTH AREA",1064210,"Y"
0,"U","ATLANTIC SOUTH AREA",1088545,"N"
0,"U","ATLANTIC SOUTH AREA",1025387,"Y"
6.666666667,"U","ATLANTIC SOUTH AREA",1089457,"Y"
0,"N","ATLANTIC SOUTH AREA",1041896,"Y"
2.666666667,"U","ATLANTIC SOUTH AREA",1082804,"Y"
13.66666667,"U","ATLANTIC SOUTH AREA",1091026,"N"
0,"U","ATLANTIC SOUTH AREA",1063976,"Y"
0,"U","ATLANTIC SOUTH AREA",1066613,"N"
0,"U","ATLANTIC SOUTH AREA",1014137,"N"
1.333333333,"Y","ATLANTIC SOUTH AREA",1060309,"Y"
0.333333333,"U","ATLANTIC SOUTH AREA",1090004,"Y"
0,"N","ATLANTIC SOUTH AREA",1000441,"Y"
2,"U","ATLANTIC SOUTH AREA",1075455,"N"
0,"U","ATLANTIC SOUTH AREA",1067838,"Y"
0,"N","ATLANTIC SOUTH AREA",1087519,"N"
5,"U","ATLANTIC SOUTH AREA",1085005,"Y"
0,"U","ATLANTIC SOUTH AREA",1074053,"Y"
8.333333333,"U","ATLANTIC SOUTH AREA",1094924,"N"
0.333333333,"U","ATLANTIC SOUTH AREA",1033420,"N"
0,"U","ATLANTIC SOUTH AREA",1087546,"N"
0,"U","ATLANTIC SOUTH AREA",1009570,"Y"
17.33333333,"U","ATLANTIC SOUTH AREA",1090457,"N"
0,"U","ATLANTIC SOUTH AREA",1080922,"Y"
0.666666667,"U","ATLANTIC SOUTH AREA",1005797,"N"
1,"Y","ATLANTIC SOUTH AREA",1077477,"N"
0,"U","ATLANTIC SOUTH AREA",1045083,"N"
0,"U","ATLANTIC SOUTH AREA",1088136,"Y"
0,"U","ATLANTIC SOUTH AREA",1067222,"Y"
2.666666667,"U","ATLANTIC SOUTH AREA",1089533,"N"
0,"U","ATLANTIC SOUTH AREA",1030697,"Y"
0,"U","ATLANTIC SOUTH AREA",1060553,"Y"
0,"U","ATLANTIC SOUTH AREA",1097610,"Y"
0.333333333,"U","ATLANTIC SOUTH AREA",1074632,"N"
2.666666667,"N","ATLANTIC SOUTH AREA",1031579,"Y"
0,"U","ATLANTIC SOUTH AREA",1028836,"Y"
0.333333333,"U","ATLANTIC SOUTH AREA",1089252,"Y"
2,"Y","ATLANTIC SOUTH AREA",1085276,"N"
0,"U","ATLANTIC SOUTH AREA",1054428,"N"
0.333333333,"U","ATLANTIC SOUTH AREA",1067250,"N"
0,"U","ATLANTIC SOUTH AREA",1025201,"Y"
1,"U","ATLANTIC SOUTH AREA",1036765,"N"
0,"U","ATLANTIC SOUTH AREA",1037967,"Y"
0,"U","ATLANTIC SOUTH AREA",1063286,"Y"
0,"U","ATLANTIC SOUTH AREA",1069778,"Y"
0,"N","ATLANTIC SOUTH AREA",1038831,"Y"
0,"U","ATLANTIC SOUTH AREA",1077050,"Y"
0,"U","ATLANTIC SOUTH AREA",1030228,"Y"
1,"U","ATLANTIC SOUTH AREA",1079190,""
0,"U","ATLANTIC SOUTH AREA",1094018,"Y"
0.666666667,"U","ATLANTIC SOUTH AREA",1084951,""
0,"U","ATLANTIC SOUTH AREA",1073316,"Y"
0,"U","ATLANTIC SOUTH AREA",1088785,"Y"
0,"U","ATLANTIC SOUTH AREA",1090799,"Y"
1.666666667,"U","ATLANTIC SOUTH AREA",1055492,"Y"
0,"U","ATLANTIC SOUTH AREA",1021255,"N"
0,"Y","ATLANTIC SOUTH AREA",1021624,"Y"
4,"U","ATLANTIC SOUTH AREA",1067806,"Y"
0,"Y","ATLANTIC SOUTH AREA",1020517,"N"
0.333333333,"U","ATLANTIC SOUTH AREA",1030927,"Y"
20,"U","ATLANTIC SOUTH AREA",1090419,"Y"
2.333333333,"U","ATLANTIC SOUTH AREA",1094460,"N"
3,"U","ATLANTIC SOUTH AREA",1089896,"N"
17.66666667,"U","ATLANTIC SOUTH AREA",1034167,"N"
0,"U","ATLANTIC SOUTH AREA",1083186,"N"
2,"U","ATLANTIC SOUTH AREA",1076958,"N"
0,"U","ATLANTIC SOUTH AREA",1069120,"Y"
16,"N","ATLANTIC SOUTH AREA",1084761,"N"
0,"U","ATLANTIC SOUTH AREA",1088417,"N"
0,"U","ATLANTIC SOUTH AREA",1025833,"Y"
1.333333333,"N","ATLANTIC SOUTH AREA",1062080,"Y"
0,"U","ATLANTIC SOUTH AREA",1039473,"Y"
3,"U","ATLANTIC SOUTH AREA",1027928,"Y"
3.333333333,"U","ATLANTIC SOUTH AREA",1070743,"N"
3.666666667,"U","ATLANTIC SOUTH AREA",1020737,"Y"
6,"U","ATLANTIC SOUTH AREA",1092448,"Y"
0.666666667,"U","ATLANTIC SOUTH AREA",1089191,"Y"
0.333333333,"U","ATLANTIC SOUTH AREA",1059186,"N"
7,"U","ATLANTIC SOUTH AREA",1048533,"Y"
1.333333333,"N","ATLANTIC SOUTH AREA",1054495,"Y"
0,"U","ATLANTIC SOUTH AREA",1069348,"Y"
1,"Y","ATLANTIC SOUTH AREA",1032582,"Y"
3.666666667,"N","ATLANTIC SOUTH AREA",1088336,"Y"
0,"U","ATLANTIC SOUTH AREA",1020118,"Y"
0,"N","ATLANTIC SOUTH AREA",1061772,"Y"
6.666666667,"Y","ATLANTIC SOUTH AREA",1047138,"Y"
0.333333333,"U","ATLANTIC SOUTH AREA",1037287,"Y"
0,"U","ATLANTIC SOUTH AREA",1087157,"Y"
0,"U","ATLANTIC SOUTH AREA",1079592,"Y"
0,"U","ATLANTIC SOUTH AREA",1093745,"Y"
1.333333333,"U","ATLANTIC SOUTH AREA",1086417,"Y"
0,"N","ATLANTIC SOUTH AREA",1067130,"N"
0.333333333,"U","ATLANTIC SOUTH AREA",1021799,"N"
49.66666667,"U","ATLANTIC SOUTH AREA",1070547,"Y"
0,"U","ATLANTIC SOUTH AREA",1075813,"N"
0,"U","ATLANTIC SOUTH AREA",1059330,"N"
9,"U","ATLANTIC SOUTH AREA",1044598,"Y"
0,"U","ATLANTIC SOUTH AREA",1070605,"Y"
4,"U","ATLANTIC SOUTH AREA",1047570,"N"
0,"U","ATLANTIC SOUTH AREA",1012849,"Y"
1,"U","ATLANTIC SOUTH AREA",1080337,"N"
3.666666667,"Y","ATLANTIC SOUTH AREA",1088937,"Y"
0.333333333,"N","ATLANTIC SOUTH AREA",1021739,"N"
5.666666667,"U","ATLANTIC SOUTH AREA",1071962,"Y"
0,"U","ATLANTIC SOUTH AREA",1055031,"Y"
2,"U","ATLANTIC SOUTH AREA",1040930,"Y"
2,"U","ATLANTIC SOUTH AREA",1050898,"Y"
0,"U","ATLANTIC SOUTH AREA",1061125,"Y"
2.666666667,"U","ATLANTIC SOUTH AREA",1030522,"Y"
0,"U","ATLANTIC SOUTH AREA",1086986,"N"
0,"N","ATLANTIC SOUTH AREA",1057917,"Y"
0.666666667,"U","ATLANTIC SOUTH AREA",1051393,"Y"
0,"U","ATLANTIC SOUTH AREA",1095255,"N"
0,"Y","ATLANTIC SOUTH AREA",1050712,"Y"
3,"U","ATLANTIC SOUTH AREA",1071645,"N"
0,"U","ATLANTIC SOUTH AREA",1076001,"Y"
0.666666667,"U","ATLANTIC SOUTH AREA",1044702,"N"
0,"N","ATLANTIC SOUTH AREA",1088519,"Y"
6.666666667,"N","ATLANTIC SOUTH AREA",1069958,"Y"
1.666666667,"Y","ATLANTIC SOUTH AREA",1057993,"Y"
1.666666667,"Y","ATLANTIC SOUTH AREA",1075664,"N"
0,"U","ATLANTIC SOUTH AREA",1085750,"Y"
7,"U","ATLANTIC SOUTH AREA",1075723,"Y"
0,"U","ATLANTIC SOUTH AREA",1056728,"N"
3.666666667,"Y","ATLANTIC SOUTH AREA",1073693,"Y"
0.333333333,"U","ATLANTIC SOUTH AREA",1052835,"N"
0,"U","ATLANTIC SOUTH AREA",1080081,"Y"
1,"N","ATLANTIC SOUTH AREA",1067219,"N"
0.333333333,"U","ATLANTIC SOUTH AREA",1080111,"N"
0.666666667,"N","ATLANTIC SOUTH AREA",1048464,"N"
0,"Y","ATLANTIC SOUTH AREA",1030162,"Y"
0,"N","ATLANTIC SOUTH AREA",1008805,"Y"
0,"U","ATLANTIC SOUTH AREA",1074776,"N"
0.333333333,"U","ATLANTIC SOUTH AREA",1067347,"Y"
0.333333333,"U","ATLANTIC SOUTH AREA",1031125,"N"
0,"U","ATLANTIC SOUTH AREA",1045971,"Y"
0,"U","ATLANTIC SOUTH AREA",1091274,"N"
6.333333333,"U","ATLANTIC SOUTH AREA",1087517,"Y"
0,"U","ATLANTIC SOUTH AREA",1081723,"Y"
2.333333333,"U","ATLANTIC SOUTH AREA",1030375,"Y"
0,"U","ATLANTIC SOUTH AREA",1028390,"N"
3.666666667,"U","ATLANTIC SOUTH AREA",1056567,"Y"
10.33333333,"U","ATLANTIC SOUTH AREA",1089013,"Y"
0,"U","ATLANTIC SOUTH AREA",1043902,"Y"
0,"N","ATLANTIC SOUTH AREA",1037971,"Y"
0,"N","ATLANTIC SOUTH AREA",1009061,"Y"
0,"U","ATLANTIC SOUTH AREA",1056669,"Y"
0,"N","ATLANTIC SOUTH AREA",1044767,"Y"
1.333333333,"U","ATLANTIC SOUTH AREA",1042641,"Y"
4.333333333,"N","ATLANTIC SOUTH AREA",1026328,"N"
0,"U","ATLANTIC SOUTH AREA",1017392,"N"
0,"N","ATLANTIC SOUTH AREA",1011722,"N"
13,"U","ATLANTIC SOUTH AREA",1041192,"Y"
2.333333333,"Y","ATLANTIC SOUTH AREA",1089422,"Y"
0,"Y","ATLANTIC SOUTH AREA",1034303,"Y"
4.666666667,"U","ATLANTIC SOUTH AREA",1028577,"Y"
1,"U","ATLANTIC SOUTH AREA",1012024,"Y"
0,"U","ATLANTIC SOUTH AREA",1051335,"N"
