"custcare_Mean","new_cell","area","Customer_ID","creditcd"
15.66666667,"U","CALIFORNIA NORTH AREA",1064411,"Y"
0,"U","CALIFORNIA NORTH AREA",1029380,"Y"
0.666666667,"Y","CALIFORNIA NORTH AREA",1056368,"N"
2,"Y","CALIFORNIA NORTH AREA",1046285,"Y"
1.333333333,"U","CALIFORNIA NORTH AREA",1010813,"N"
0,"Y","CALIFORNIA NORTH AREA",1055853,"Y"
0,"Y","CALIFORNIA NORTH AREA",1020389,"N"
0,"U","CALIFORNIA NORTH AREA",1068450,"Y"
0,"U","CALIFORNIA NORTH AREA",1065402,"Y"
0,"N","CALIFORNIA NORTH AREA",1063689,"N"
0,"U","CALIFORNIA NORTH AREA",1056712,"Y"
0,"U","CALIFORNIA NORTH AREA",1097679,"Y"
0,"U","CALIFORNIA NORTH AREA",1088995,"Y"
0,"U","CALIFORNIA NORTH AREA",1050678,"Y"
0,"U","CALIFORNIA NORTH AREA",1082406,"Y"
0,"Y","CALIFORNIA NORTH AREA",1035941,"Y"
3,"U","CALIFORNIA NORTH AREA",1024103,"Y"
0,"U","CALIFORNIA NORTH AREA",1037072,"N"
0,"Y","CALIFORNIA NORTH AREA",1091501,"Y"
0,"Y","CALIFORNIA NORTH AREA",1044230,"N"
0,"U","CALIFORNIA NORTH AREA",1041213,"N"
0,"U","CALIFORNIA NORTH AREA",1007377,"Y"
4,"U","CALIFORNIA NORTH AREA",1042128,"Y"
0,"Y","CALIFORNIA NORTH AREA",1012974,"Y"
0.333333333,"Y","CALIFORNIA NORTH AREA",1010948,"Y"
1.666666667,"N","CALIFORNIA NORTH AREA",1026507,"N"
0,"U","CALIFORNIA NORTH AREA",1083416,"N"
10,"Y","CALIFORNIA NORTH AREA",1019312,"N"
0,"U","CALIFORNIA NORTH AREA",1014989,"N"
0,"U","CALIFORNIA NORTH AREA",1003382,"Y"
0.333333333,"U","CALIFORNIA NORTH AREA",1082720,"Y"
4.666666667,"U","CALIFORNIA NORTH AREA",1057033,"Y"
0,"U","CALIFORNIA NORTH AREA",1097652,"N"
5.333333333,"Y","CALIFORNIA NORTH AREA",1077428,"N"
0,"U","CALIFORNIA NORTH AREA",1084991,"N"
4.333333333,"U","CALIFORNIA NORTH AREA",1047507,"N"
12.33333333,"N","CALIFORNIA NORTH AREA",1003734,"Y"
0,"U","CALIFORNIA NORTH AREA",1029644,"Y"
0,"U","CALIFORNIA NORTH AREA",1018261,"Y"
3.333333333,"N","CALIFORNIA NORTH AREA",1064812,"N"
0.333333333,"U","CALIFORNIA NORTH AREA",1097663,"Y"
0.666666667,"U","CALIFORNIA NORTH AREA",1014679,"Y"
0,"U","CALIFORNIA NORTH AREA",1070508,"N"
0,"U","CALIFORNIA NORTH AREA",1026995,"Y"
0,"U","CALIFORNIA NORTH AREA",1029189,"Y"
0,"U","CALIFORNIA NORTH AREA",1031188,"Y"
0,"U","CALIFORNIA NORTH AREA",1025430,"N"
0,"N","CALIFORNIA NORTH AREA",1058018,"Y"
