"custcare_Mean","new_cell","area","Customer_ID","creditcd"
13.66666667,"N","CENTRAL-SOUTH TEXAS AREA",1016302,"Y"
1,"U","CENTRAL-SOUTH TEXAS AREA",1002366,"Y"
0,"N","CENTRAL-SOUTH TEXAS AREA",1062599,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1059746,"Y"
0,"N","CENTRAL-SOUTH TEXAS AREA",1016781,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1065562,"N"
2.666666667,"U","CENTRAL-SOUTH TEXAS AREA",1025580,"N"
0,"U","CENTRAL-SOUTH TEXAS AREA",1007025,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1015533,"Y"
0.333333333,"U","CENTRAL-SOUTH TEXAS AREA",1087888,"Y"
0,"Y","CENTRAL-SOUTH TEXAS AREA",1064715,"Y"
0,"Y","CENTRAL-SOUTH TEXAS AREA",1002013,"Y"
0.666666667,"U","CENTRAL-SOUTH TEXAS AREA",1068448,"Y"
17,"U","CENTRAL-SOUTH TEXAS AREA",1038669,"Y"
2.666666667,"U","CENTRAL-SOUTH TEXAS AREA",1047165,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1015970,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1019091,"Y"
2.666666667,"U","CENTRAL-SOUTH TEXAS AREA",1055646,"N"
0,"U","CENTRAL-SOUTH TEXAS AREA",1033795,"Y"
0,"N","CENTRAL-SOUTH TEXAS AREA",1024084,"Y"
2.666666667,"N","CENTRAL-SOUTH TEXAS AREA",1087920,"Y"
0,"Y","CENTRAL-SOUTH TEXAS AREA",1077127,"Y"
0,"N","CENTRAL-SOUTH TEXAS AREA",1036133,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1018390,"Y"
0,"Y","CENTRAL-SOUTH TEXAS AREA",1024268,"Y"
14,"U","CENTRAL-SOUTH TEXAS AREA",1026843,"Y"
2,"U","CENTRAL-SOUTH TEXAS AREA",1043286,"Y"
4.333333333,"N","CENTRAL-SOUTH TEXAS AREA",1067640,"Y"
6,"U","CENTRAL-SOUTH TEXAS AREA",1038111,"Y"
5.333333333,"Y","CENTRAL-SOUTH TEXAS AREA",1021062,"Y"
0,"Y","CENTRAL-SOUTH TEXAS AREA",1019203,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1020152,"N"
0,"U","CENTRAL-SOUTH TEXAS AREA",1084211,"N"
0,"N","CENTRAL-SOUTH TEXAS AREA",1021841,"Y"
0.333333333,"N","CENTRAL-SOUTH TEXAS AREA",1041201,"Y"
1.666666667,"U","CENTRAL-SOUTH TEXAS AREA",1060964,""
0,"N","CENTRAL-SOUTH TEXAS AREA",1003014,"Y"
1.333333333,"Y","CENTRAL-SOUTH TEXAS AREA",1072200,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1077829,"N"
0,"U","CENTRAL-SOUTH TEXAS AREA",1015941,"N"
0.666666667,"N","CENTRAL-SOUTH TEXAS AREA",1029622,"Y"
1.333333333,"N","CENTRAL-SOUTH TEXAS AREA",1019370,""
0,"N","CENTRAL-SOUTH TEXAS AREA",1038271,"Y"
3,"Y","CENTRAL-SOUTH TEXAS AREA",1030198,"Y"
0,"N","CENTRAL-SOUTH TEXAS AREA",1003331,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1058432,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1002055,"Y"
0,"Y","CENTRAL-SOUTH TEXAS AREA",1000014,"N"
0,"Y","CENTRAL-SOUTH TEXAS AREA",1012189,"Y"
0,"Y","CENTRAL-SOUTH TEXAS AREA",1002581,"Y"
1.333333333,"U","CENTRAL-SOUTH TEXAS AREA",1033477,"Y"
0.666666667,"Y","CENTRAL-SOUTH TEXAS AREA",1041738,"Y"
4,"Y","CENTRAL-SOUTH TEXAS AREA",1063572,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1033628,"Y"
0,"Y","CENTRAL-SOUTH TEXAS AREA",1022960,"Y"
0.333333333,"U","CENTRAL-SOUTH TEXAS AREA",1095294,"N"
0,"U","CENTRAL-SOUTH TEXAS AREA",1087602,"N"
0,"U","CENTRAL-SOUTH TEXAS AREA",1049479,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1019638,"Y"
0,"Y","CENTRAL-SOUTH TEXAS AREA",1042603,"Y"
0,"U","CENTRAL-SOUTH TEXAS AREA",1080945,"Y"
