"custcare_Mean","new_cell","area","Customer_ID","creditcd"
11,"U","CHICAGO AREA",1089806,"Y"
0.666666667,"U","CHICAGO AREA",1088967,"N"
0,"U","CHICAGO AREA",1085074,"Y"
6.666666667,"Y","CHICAGO AREA",1053959,"Y"
1,"U","CHICAGO AREA",1046932,"N"
3,"U","CHICAGO AREA",1068224,"N"
0.333333333,"U","CHICAGO AREA",1055525,"Y"
0,"Y","CHICAGO AREA",1002146,"Y"
0,"U","CHICAGO AREA",1013487,"N"
0,"U","CHICAGO AREA",1090513,"Y"
0,"U","CHICAGO AREA",1029772,"Y"
0.666666667,"Y","CHICAGO AREA",1019236,"N"
0,"N","CHICAGO AREA",1071222,"N"
0,"U","CHICAGO AREA",1080605,"N"
10.66666667,"U","CHICAGO AREA",1046760,"Y"
1.666666667,"N","CHICAGO AREA",1096542,""
0,"U","CHICAGO AREA",1078325,"N"
7.666666667,"U","CHICAGO AREA",1088126,"N"
1.333333333,"Y","CHICAGO AREA",1054387,"Y"
1.666666667,"N","CHICAGO AREA",1016934,"Y"
0,"U","CHICAGO AREA",1069138,"Y"
0,"U","CHICAGO AREA",1073252,"N"
0.333333333,"U","CHICAGO AREA",1013832,"Y"
0,"U","CHICAGO AREA",1040723,"N"
0,"U","CHICAGO AREA",1068574,"N"
0.333333333,"U","CHICAGO AREA",1013756,"Y"
1.666666667,"U","CHICAGO AREA",1050042,"N"
0,"U","CHICAGO AREA",1048495,"Y"
0,"U","CHICAGO AREA",1082758,""
2.666666667,"U","CHICAGO AREA",1056584,"Y"
0,"U","CHICAGO AREA",1061234,"Y"
5,"U","CHICAGO AREA",1077334,"Y"
0,"U","CHICAGO AREA",1027156,"Y"
3.333333333,"U","CHICAGO AREA",1055422,"N"
0,"U","CHICAGO AREA",1046225,"N"
0,"U","CHICAGO AREA",1082344,"Y"
3.333333333,"U","CHICAGO AREA",1091917,"Y"
6.333333333,"U","CHICAGO AREA",1084223,"N"
0,"U","CHICAGO AREA",1065505,"N"
0,"U","CHICAGO AREA",1037335,"Y"
0,"Y","CHICAGO AREA",1073857,"Y"
4,"Y","CHICAGO AREA",1012877,"Y"
0,"U","CHICAGO AREA",1073427,"N"
1.333333333,"U","CHICAGO AREA",1086860,"N"
10,"U","CHICAGO AREA",1069407,"Y"
0,"U","CHICAGO AREA",1032867,"N"
0,"U","CHICAGO AREA",1018664,"N"
0,"U","CHICAGO AREA",1031323,"Y"
1.666666667,"U","CHICAGO AREA",1093864,"N"
0,"U","CHICAGO AREA",1057747,"N"
8.333333333,"U","CHICAGO AREA",1065328,"Y"
0,"N","CHICAGO AREA",1063134,"Y"
0,"U","CHICAGO AREA",1071982,"Y"
1,"U","CHICAGO AREA",1047759,"N"
0,"U","CHICAGO AREA",1052476,"N"
7.666666667,"U","CHICAGO AREA",1063199,"Y"
6,"N","CHICAGO AREA",1027873,"Y"
1.666666667,"N","CHICAGO AREA",1012963,"Y"
0,"U","CHICAGO AREA",1088968,"Y"
1.333333333,"U","CHICAGO AREA",1011676,"Y"
0,"U","CHICAGO AREA",1031363,"N"
2,"U","CHICAGO AREA",1060783,"Y"
0,"U","CHICAGO AREA",1018293,"N"
0,"U","CHICAGO AREA",1073405,"Y"
19,"U","CHICAGO AREA",1084800,"N"
0,"U","CHICAGO AREA",1090217,"Y"
1,"N","CHICAGO AREA",1070320,"Y"
0,"U","CHICAGO AREA",1082409,"Y"
0,"U","CHICAGO AREA",1082466,"N"
0,"U","CHICAGO AREA",1040271,"Y"
0,"U","CHICAGO AREA",1076465,"N"
0,"U","CHICAGO AREA",1070839,"Y"
1.666666667,"U","CHICAGO AREA",1087911,"Y"
2,"U","CHICAGO AREA",1062351,"N"
0,"Y","CHICAGO AREA",1078379,"Y"
0,"U","CHICAGO AREA",1043054,"Y"
5,"Y","CHICAGO AREA",1078520,"N"
1.666666667,"U","CHICAGO AREA",1029851,"N"
0.666666667,"U","CHICAGO AREA",1012747,"Y"
11,"U","CHICAGO AREA",1071108,"Y"
0,"U","CHICAGO AREA",1096133,"Y"
0,"U","CHICAGO AREA",1032670,"Y"
0,"U","CHICAGO AREA",1081310,"Y"
0.666666667,"U","CHICAGO AREA",1094079,"N"
