"custcare_Mean","new_cell","area","Customer_ID","creditcd"
2,"N","DALLAS AREA",1008208,"Y"
0,"U","DALLAS AREA",1013047,"Y"
0,"U","DALLAS AREA",1089778,"Y"
0,"Y","DALLAS AREA",1007540,"Y"
0,"N","DALLAS AREA",1023169,"Y"
0,"U","DALLAS AREA",1091010,"Y"
7.666666667,"Y","DALLAS AREA",1017691,"Y"
8.333333333,"U","DALLAS AREA",1087178,"N"
0,"U","DALLAS AREA",1063658,"Y"
1.333333333,"U","DALLAS AREA",1094469,"N"
0,"N","DALLAS AREA",1097055,"Y"
0.666666667,"N","DALLAS AREA",1006422,"Y"
0.666666667,"U","DALLAS AREA",1027191,"Y"
0,"N","DALLAS AREA",1064926,"Y"
0,"U","DALLAS AREA",1012613,"Y"
0,"U","DALLAS AREA",1018270,"Y"
0,"U","DALLAS AREA",1077541,"Y"
8.333333333,"U","DALLAS AREA",1072942,"Y"
0.666666667,"U","DALLAS AREA",1038366,"Y"
0,"U","DALLAS AREA",1008422,"Y"
0.333333333,"Y","DALLAS AREA",1035814,"Y"
0,"Y","DALLAS AREA",1082770,"N"
0,"U","DALLAS AREA",1009116,"Y"
0,"U","DALLAS AREA",1032046,"Y"
0,"N","DALLAS AREA",1048051,"N"
1,"N","DALLAS AREA",1049122,"Y"
0,"U","DALLAS AREA",1085363,"Y"
0,"U","DALLAS AREA",1075421,"N"
0,"Y","DALLAS AREA",1089792,"Y"
0,"Y","DALLAS AREA",1022624,"Y"
0,"Y","DALLAS AREA",1007850,"N"
0,"U","DALLAS AREA",1023350,"Y"
0.333333333,"Y","DALLAS AREA",1001602,"Y"
0,"U","DALLAS AREA",1013725,"N"
1.333333333,"U","DALLAS AREA",1087651,"N"
5.666666667,"U","DALLAS AREA",1060313,"Y"
0,"Y","DALLAS AREA",1025224,"Y"
0,"U","DALLAS AREA",1076969,"N"
0.666666667,"Y","DALLAS AREA",1033738,"Y"
0,"U","DALLAS AREA",1050684,"N"
0,"Y","DALLAS AREA",1059643,"Y"
0,"N","DALLAS AREA",1016239,"Y"
4.666666667,"U","DALLAS AREA",1049379,"N"
0.333333333,"Y","DALLAS AREA",1027419,"Y"
0,"U","DALLAS AREA",1058221,"N"
0,"N","DALLAS AREA",1000072,"Y"
0,"N","DALLAS AREA",1020133,"Y"
0,"N","DALLAS AREA",1064764,"Y"
5.333333333,"U","DALLAS AREA",1046359,"Y"
0,"U","DALLAS AREA",1007908,"Y"
3.666666667,"Y","DALLAS AREA",1056193,"Y"
0,"U","DALLAS AREA",1017319,"N"
1,"U","DALLAS AREA",1021794,"Y"
0,"U","DALLAS AREA",1067773,"Y"
0,"U","DALLAS AREA",1056980,"N"
0,"U","DALLAS AREA",1069685,"N"
2.333333333,"U","DALLAS AREA",1039228,"Y"
0,"U","DALLAS AREA",1007629,"N"
0,"U","DALLAS AREA",1076815,"Y"
0,"Y","DALLAS AREA",1041454,"Y"
0.333333333,"U","DALLAS AREA",1089641,"N"
4,"N","DALLAS AREA",1063977,"N"
0,"N","DALLAS AREA",1024323,"Y"
0,"U","DALLAS AREA",1085070,"Y"
7,"U","DALLAS AREA",1068141,"N"
12.66666667,"U","DALLAS AREA",1063991,"Y"
0,"U","DALLAS AREA",1008426,"N"
2,"U","DALLAS AREA",1087721,"N"
1.666666667,"U","DALLAS AREA",1060830,"N"
1,"U","DALLAS AREA",1027755,"N"
0,"U","DALLAS AREA",1018650,"N"
0,"U","DALLAS AREA",1086372,"N"
0,"Y","DALLAS AREA",1028403,"Y"
4.333333333,"U","DALLAS AREA",1065018,"Y"
0,"Y","DALLAS AREA",1072874,"Y"
0,"U","DALLAS AREA",1070678,"Y"
0,"Y","DALLAS AREA",1000118,"Y"
0,"U","DALLAS AREA",1046618,"Y"
0.333333333,"Y","DALLAS AREA",1000096,"Y"
2,"U","DALLAS AREA",1049249,"Y"
0,"Y","DALLAS AREA",1027183,"Y"
1.333333333,"U","DALLAS AREA",1036838,"N"
0,"N","DALLAS AREA",1000222,"N"
0,"N","DALLAS AREA",1070235,"Y"
1.666666667,"U","DALLAS AREA",1095424,"Y"
0,"U","DALLAS AREA",1095598,"N"
0,"U","DALLAS AREA",1009863,"Y"
0,"N","DALLAS AREA",1001270,"Y"
0.666666667,"U","DALLAS AREA",1067705,"N"
0.333333333,"U","DALLAS AREA",1064750,"Y"
2.333333333,"U","DALLAS AREA",1076950,"Y"
0,"U","DALLAS AREA",1012326,"N"
0,"U","DALLAS AREA",1049389,"Y"
0,"N","DALLAS AREA",1036244,"Y"
0,"U","DALLAS AREA",1004315,"Y"
0,"Y","DALLAS AREA",1030803,"Y"
5,"Y","DALLAS AREA",1026473,"N"
4.333333333,"U","DALLAS AREA",1086240,"Y"
0,"Y","DALLAS AREA",1025097,"Y"
0,"Y","DALLAS AREA",1014627,"Y"
0,"U","DALLAS AREA",1036217,"N"
0,"Y","DALLAS AREA",1033385,"Y"
0,"U","DALLAS AREA",1072489,"N"
0.333333333,"Y","DALLAS AREA",1047976,"Y"
0.333333333,"U","DALLAS AREA",1056900,"Y"
0.666666667,"U","DALLAS AREA",1014069,"N"
0,"U","DALLAS AREA",1095796,"Y"
1,"U","DALLAS AREA",1022271,"Y"
1,"U","DALLAS AREA",1038938,"Y"
0,"U","DALLAS AREA",1089403,"Y"
2,"U","DALLAS AREA",1018524,"Y"
12.33333333,"U","DALLAS AREA",1096650,"N"
0,"N","DALLAS AREA",1000182,"Y"
0,"U","DALLAS AREA",1075357,"N"
0.666666667,"Y","DALLAS AREA",1068286,"Y"
1,"U","DALLAS AREA",1031712,"Y"
0,"Y","DALLAS AREA",1002389,"Y"
0,"U","DALLAS AREA",1026909,"Y"
0,"U","DALLAS AREA",1043498,"Y"
0,"Y","DALLAS AREA",1000895,"N"
0,"N","DALLAS AREA",1002643,"Y"
0,"U","DALLAS AREA",1007817,"Y"
0,"N","DALLAS AREA",1009899,"Y"
0,"N","DALLAS AREA",1000784,"Y"
0,"Y","DALLAS AREA",1073444,"Y"
0,"N","DALLAS AREA",1003506,"Y"
0.666666667,"U","DALLAS AREA",1071484,"Y"
5.333333333,"U","DALLAS AREA",1072512,"N"
