"custcare_Mean","new_cell","area","Customer_ID","creditcd"
0,"U","DC-MARYLAND-VIRGINIA AREA",1045239,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1016607,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1015068,"Y"
2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1076198,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1028649,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1077754,"N"
7,"N","DC-MARYLAND-VIRGINIA AREA",1085015,"N"
4.333333333,"N","DC-MARYLAND-VIRGINIA AREA",1028674,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1060840,"Y"
5,"Y","DC-MARYLAND-VIRGINIA AREA",1079795,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1065210,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1094369,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1079861,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1074541,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1007748,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1075065,"Y"
2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1054066,"Y"
5.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1042885,"Y"
9.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1088306,"Y"
14.33333333,"U","DC-MARYLAND-VIRGINIA AREA",1088241,"N"
10,"U","DC-MARYLAND-VIRGINIA AREA",1047699,"Y"
3.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1096980,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1017671,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1017425,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1051380,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1034511,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1089748,"Y"
7.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1086436,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1030822,"Y"
14,"U","DC-MARYLAND-VIRGINIA AREA",1074795,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1045676,"Y"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1020796,"Y"
2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1030346,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1064472,"N"
4.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1050240,"Y"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1055472,"N"
2.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1038579,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1061215,"N"
13,"Y","DC-MARYLAND-VIRGINIA AREA",1002837,"Y"
0.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1086805,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1019547,"Y"
2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1020287,"Y"
3.666666667,"Y","DC-MARYLAND-VIRGINIA AREA",1084093,"N"
0.333333333,"N","DC-MARYLAND-VIRGINIA AREA",1024492,"N"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1044211,"Y"
2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1039785,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1085213,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1027292,""
0.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1031353,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1044297,"Y"
1.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1024369,""
1,"U","DC-MARYLAND-VIRGINIA AREA",1012528,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1021351,"Y"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1011167,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1093702,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1068387,"N"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1055931,"Y"
1.333333333,"Y","DC-MARYLAND-VIRGINIA AREA",1045731,"N"
1.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1035807,"N"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1067238,"N"
2,"U","DC-MARYLAND-VIRGINIA AREA",1087588,"N"
1.666666667,"Y","DC-MARYLAND-VIRGINIA AREA",1013197,"N"
0,"N","DC-MARYLAND-VIRGINIA AREA",1036875,"Y"
0.333333333,"Y","DC-MARYLAND-VIRGINIA AREA",1045166,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1057265,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1047837,"Y"
0.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1053573,"Y"
0.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1023336,"N"
3,"N","DC-MARYLAND-VIRGINIA AREA",1019094,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1072533,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1033361,"Y"
2.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1016646,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1073181,"Y"
62.66666667,"U","DC-MARYLAND-VIRGINIA AREA",1077782,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1088621,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1022311,"N"
6,"Y","DC-MARYLAND-VIRGINIA AREA",1087481,"N"
4.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1031008,"N"
0.333333333,"N","DC-MARYLAND-VIRGINIA AREA",1035496,"N"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1039787,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1086781,"Y"
1.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1025555,"Y"
13,"U","DC-MARYLAND-VIRGINIA AREA",1024240,"N"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1047489,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1050862,"N"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1044882,"Y"
1,"U","DC-MARYLAND-VIRGINIA AREA",1092989,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1060710,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1026498,"Y"
2.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1021456,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1071872,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1037379,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1015029,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1057706,"N"
14.33333333,"U","DC-MARYLAND-VIRGINIA AREA",1058484,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1067120,"Y"
1.666666667,"N","DC-MARYLAND-VIRGINIA AREA",1090340,"N"
0.666666667,"Y","DC-MARYLAND-VIRGINIA AREA",1002203,"Y"
2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1082828,"Y"
1.666666667,"N","DC-MARYLAND-VIRGINIA AREA",1012002,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1056200,"Y"
4.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1057271,"Y"
0.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1024516,""
0.666666667,"Y","DC-MARYLAND-VIRGINIA AREA",1050906,"Y"
0.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1024511,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1063874,"N"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1059492,"N"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1065111,"Y"
4,"U","DC-MARYLAND-VIRGINIA AREA",1078717,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1016049,"Y"
18.33333333,"U","DC-MARYLAND-VIRGINIA AREA",1086661,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1094355,"Y"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1045904,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1023051,"Y"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1059542,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1066176,"Y"
2,"U","DC-MARYLAND-VIRGINIA AREA",1050598,"Y"
1.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1079852,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1053588,"N"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1089996,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1026036,"N"
0.333333333,"N","DC-MARYLAND-VIRGINIA AREA",1051487,"N"
2.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1056475,"Y"
1.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1025076,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1038824,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1020831,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1074563,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1038517,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1064303,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1044630,"N"
4.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1077392,"Y"
1,"U","DC-MARYLAND-VIRGINIA AREA",1081735,"Y"
2,"U","DC-MARYLAND-VIRGINIA AREA",1031994,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1072313,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1096005,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1026641,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1078528,"Y"
0.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1050704,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1022794,"Y"
2.333333333,"Y","DC-MARYLAND-VIRGINIA AREA",1049190,"N"
1.333333333,"Y","DC-MARYLAND-VIRGINIA AREA",1057235,"N"
0,"N","DC-MARYLAND-VIRGINIA AREA",1025935,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1070062,"Y"
3,"U","DC-MARYLAND-VIRGINIA AREA",1037947,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1070317,"Y"
3.666666667,"Y","DC-MARYLAND-VIRGINIA AREA",1016493,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1030379,"Y"
6.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1065807,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1004977,"Y"
2.666666667,"N","DC-MARYLAND-VIRGINIA AREA",1049346,"Y"
1.333333333,"Y","DC-MARYLAND-VIRGINIA AREA",1039036,"N"
2.333333333,"N","DC-MARYLAND-VIRGINIA AREA",1049056,"N"
3.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1084795,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1096433,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1035336,"Y"
0.666666667,"Y","DC-MARYLAND-VIRGINIA AREA",1004033,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1043105,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1024879,"Y"
21.33333333,"U","DC-MARYLAND-VIRGINIA AREA",1089167,"N"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1039031,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1017359,"Y"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1019065,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1081648,"N"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1024910,"Y"
4.333333333,"Y","DC-MARYLAND-VIRGINIA AREA",1093356,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1096455,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1029366,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1096945,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1054317,"N"
3.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1088041,""
0,"Y","DC-MARYLAND-VIRGINIA AREA",1063740,""
0,"U","DC-MARYLAND-VIRGINIA AREA",1024559,"N"
8.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1088779,"N"
0.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1027769,"N"
0.333333333,"N","DC-MARYLAND-VIRGINIA AREA",1067893,"Y"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1076471,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1060123,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1070174,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1051497,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1025657,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1015174,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1067700,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1020805,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1023692,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1046779,"N"
0.333333333,"Y","DC-MARYLAND-VIRGINIA AREA",1085325,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1024534,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1074043,"N"
4.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1053562,"N"
0.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1058673,"Y"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1092106,"Y"
0.333333333,"Y","DC-MARYLAND-VIRGINIA AREA",1010673,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1026122,"N"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1020779,"Y"
4.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1091922,"Y"
3,"U","DC-MARYLAND-VIRGINIA AREA",1038896,"Y"
15.33333333,"U","DC-MARYLAND-VIRGINIA AREA",1085202,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1018183,""
2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1026395,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1096322,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1069068,""
0.666666667,"N","DC-MARYLAND-VIRGINIA AREA",1015721,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1064302,"Y"
3,"U","DC-MARYLAND-VIRGINIA AREA",1029111,"N"
2,"U","DC-MARYLAND-VIRGINIA AREA",1093208,"Y"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1094314,"N"
5,"U","DC-MARYLAND-VIRGINIA AREA",1095461,"Y"
16.33333333,"N","DC-MARYLAND-VIRGINIA AREA",1091239,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1077341,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1074192,"Y"
0.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1051933,""
5.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1092362,"Y"
4.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1020217,"N"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1058318,"N"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1003690,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1039433,"Y"
1.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1053285,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1036628,"Y"
4.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1094698,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1035593,"Y"
8.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1080592,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1074198,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1021398,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1082166,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1016643,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1021384,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1048803,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1039159,"N"
2.333333333,"Y","DC-MARYLAND-VIRGINIA AREA",1092000,"N"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1017946,""
0,"U","DC-MARYLAND-VIRGINIA AREA",1014138,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1074538,"Y"
3.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1039314,"N"
0,"N","DC-MARYLAND-VIRGINIA AREA",1025054,"N"
2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1024985,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1085528,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1027448,"Y"
1.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1044774,"Y"
0,"N","DC-MARYLAND-VIRGINIA AREA",1060545,"N"
0,"N","DC-MARYLAND-VIRGINIA AREA",1022190,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1011630,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1090163,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1096472,"Y"
0,"U","DC-MARYLAND-VIRGINIA AREA",1046997,"N"
0,"U","DC-MARYLAND-VIRGINIA AREA",1023477,"Y"
4.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1031945,"N"
1.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1075892,"Y"
13.33333333,"Y","DC-MARYLAND-VIRGINIA AREA",1096947,"N"
1.666666667,"N","DC-MARYLAND-VIRGINIA AREA",1070375,"Y"
0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1085461,"Y"
0,"Y","DC-MARYLAND-VIRGINIA AREA",1007406,"Y"
0.666666667,"N","DC-MARYLAND-VIRGINIA AREA",1043163,"Y"
