"custcare_Mean","new_cell","area","Customer_ID","creditcd"
0,"U","GREAT LAKES AREA",1046584,"Y"
0,"U","GREAT LAKES AREA",1023685,"Y"
0,"U","GREAT LAKES AREA",1035097,"Y"
1.666666667,"Y","GREAT LAKES AREA",1011051,"Y"
7,"N","GREAT LAKES AREA",1011205,"N"
0,"U","GREAT LAKES AREA",1015584,"Y"
0,"U","GREAT LAKES AREA",1038121,"Y"
0,"N","GREAT LAKES AREA",1012932,"N"
0,"U","GREAT LAKES AREA",1018201,"Y"
0,"N","GREAT LAKES AREA",1062478,"Y"
0,"Y","GREAT LAKES AREA",1006223,"Y"
0,"Y","GREAT LAKES AREA",1033727,"Y"
0,"U","GREAT LAKES AREA",1026030,"Y"
0,"N","GREAT LAKES AREA",1003786,"Y"
3,"N","GREAT LAKES AREA",1036553,"Y"
0,"U","GREAT LAKES AREA",1096855,"N"
0,"N","GREAT LAKES AREA",1060351,"Y"
0.333333333,"U","GREAT LAKES AREA",1049457,"N"
3.333333333,"U","GREAT LAKES AREA",1062662,"Y"
7,"Y","GREAT LAKES AREA",1058486,"Y"
0,"U","GREAT LAKES AREA",1065512,"N"
10,"U","GREAT LAKES AREA",1091266,"Y"
0,"U","GREAT LAKES AREA",1041810,"Y"
7,"U","GREAT LAKES AREA",1046882,"Y"
0.333333333,"Y","GREAT LAKES AREA",1011005,"Y"
0,"U","GREAT LAKES AREA",1036711,"Y"
0,"U","GREAT LAKES AREA",1095708,"Y"
0,"U","GREAT LAKES AREA",1081326,"Y"
0,"Y","GREAT LAKES AREA",1012561,"Y"
1.333333333,"U","GREAT LAKES AREA",1074609,"Y"
14.66666667,"Y","GREAT LAKES AREA",1001452,"N"
0,"N","GREAT LAKES AREA",1051113,"Y"
0,"N","GREAT LAKES AREA",1001487,"Y"
6.333333333,"U","GREAT LAKES AREA",1079987,"Y"
4.666666667,"U","GREAT LAKES AREA",1072070,"Y"
1.333333333,"U","GREAT LAKES AREA",1032541,"Y"
9,"Y","GREAT LAKES AREA",1019514,"Y"
0,"Y","GREAT LAKES AREA",1015265,"N"
0,"U","GREAT LAKES AREA",1069579,"N"
0.333333333,"Y","GREAT LAKES AREA",1018668,"N"
0.666666667,"U","GREAT LAKES AREA",1024722,"N"
0,"Y","GREAT LAKES AREA",1050126,"N"
