"custcare_Mean","new_cell","area","Customer_ID","creditcd"
6.333333333,"U","HOUSTON AREA",1088984,"N"
0,"U","HOUSTON AREA",1013751,"Y"
11.33333333,"Y","HOUSTON AREA",1001867,"Y"
0,"N","HOUSTON AREA",1007086,"Y"
0,"N","HOUSTON AREA",1049782,"N"
0,"U","HOUSTON AREA",1081581,"Y"
0,"U","HOUSTON AREA",1023631,"Y"
0.333333333,"U","HOUSTON AREA",1062289,"N"
0,"U","HOUSTON AREA",1097212,"N"
0,"U","HOUSTON AREA",1048099,"Y"
0,"U","HOUSTON AREA",1017192,"Y"
0,"U","HOUSTON AREA",1065051,"N"
0,"U","HOUSTON AREA",1088350,"Y"
0,"Y","HOUSTON AREA",1034736,"Y"
2.333333333,"N","HOUSTON AREA",1091134,"N"
0,"U","HOUSTON AREA",1028216,"Y"
0,"U","HOUSTON AREA",1065467,"N"
0,"Y","HOUSTON AREA",1011113,"Y"
0,"N","HOUSTON AREA",1027652,"Y"
0.333333333,"U","HOUSTON AREA",1090520,"Y"
0,"U","HOUSTON AREA",1023699,"N"
0,"Y","HOUSTON AREA",1014283,"Y"
0,"N","HOUSTON AREA",1007567,"Y"
3.666666667,"U","HOUSTON AREA",1078031,"Y"
0,"U","HOUSTON AREA",1017744,"Y"
6.333333333,"Y","HOUSTON AREA",1092860,"N"
0.333333333,"Y","HOUSTON AREA",1016407,"N"
0,"N","HOUSTON AREA",1037309,"Y"
0,"U","HOUSTON AREA",1054882,"N"
0,"U","HOUSTON AREA",1015104,"Y"
0,"Y","HOUSTON AREA",1007985,"Y"
0,"Y","HOUSTON AREA",1000211,"Y"
4.666666667,"U","HOUSTON AREA",1075511,"Y"
29.66666667,"N","HOUSTON AREA",1004658,"Y"
4,"U","HOUSTON AREA",1009578,"Y"
0,"U","HOUSTON AREA",1084660,"N"
1,"Y","HOUSTON AREA",1087631,"N"
0.333333333,"U","HOUSTON AREA",1053953,"Y"
1.333333333,"U","HOUSTON AREA",1018901,"Y"
1.333333333,"U","HOUSTON AREA",1045383,"Y"
0,"U","HOUSTON AREA",1045499,"Y"
0,"N","HOUSTON AREA",1043665,"Y"
12.33333333,"N","HOUSTON AREA",1028716,"Y"
0,"U","HOUSTON AREA",1088434,"Y"
0,"U","HOUSTON AREA",1071555,"Y"
2.666666667,"Y","HOUSTON AREA",1086071,"Y"
0.666666667,"Y","HOUSTON AREA",1018463,"Y"
6,"U","HOUSTON AREA",1088462,"N"
0,"N","HOUSTON AREA",1001696,"Y"
2.666666667,"Y","HOUSTON AREA",1080310,""
0.333333333,"Y","HOUSTON AREA",1013574,"Y"
0,"Y","HOUSTON AREA",1000334,"Y"
0,"U","HOUSTON AREA",1017581,"Y"
0,"U","HOUSTON AREA",1028363,"Y"
8.666666667,"U","HOUSTON AREA",1038947,"Y"
0,"N","HOUSTON AREA",1085901,"Y"
2,"U","HOUSTON AREA",1032183,"Y"
0,"Y","HOUSTON AREA",1097154,"Y"
0,"U","HOUSTON AREA",1034460,"N"
3.666666667,"U","HOUSTON AREA",1078235,"Y"
0,"U","HOUSTON AREA",1097177,"N"
0,"U","HOUSTON AREA",1055730,"N"
0,"Y","HOUSTON AREA",1096913,"Y"
0.333333333,"U","HOUSTON AREA",1017875,"N"
1,"U","HOUSTON AREA",1032533,"Y"
0,"U","HOUSTON AREA",1008063,"Y"
0,"U","HOUSTON AREA",1095107,"N"
0,"U","HOUSTON AREA",1027604,"Y"
1.666666667,"U","HOUSTON AREA",1065009,"Y"
3,"N","HOUSTON AREA",1027246,"N"
1.666666667,"N","HOUSTON AREA",1014926,"Y"
5.333333333,"U","HOUSTON AREA",1042590,"Y"
0,"N","HOUSTON AREA",1046074,"N"
0,"U","HOUSTON AREA",1008119,"Y"
5,"Y","HOUSTON AREA",1051160,"Y"
0.333333333,"U","HOUSTON AREA",1005946,"Y"
0,"U","HOUSTON AREA",1029368,"Y"
11.66666667,"U","HOUSTON AREA",1050326,"N"
0,"U","HOUSTON AREA",1068978,"Y"
0,"U","HOUSTON AREA",1062166,"Y"
6,"U","HOUSTON AREA",1087493,"Y"
1,"U","HOUSTON AREA",1037098,"Y"
0,"U","HOUSTON AREA",1077185,"Y"
0,"N","HOUSTON AREA",1093217,"N"
0,"U","HOUSTON AREA",1031847,"Y"
0.333333333,"N","HOUSTON AREA",1021997,"Y"
0,"U","HOUSTON AREA",1066766,"Y"
2.666666667,"U","HOUSTON AREA",1092678,"N"
0,"Y","HOUSTON AREA",1007701,"N"
0,"Y","HOUSTON AREA",1025051,"Y"
0.333333333,"Y","HOUSTON AREA",1013225,"Y"
0,"Y","HOUSTON AREA",1007042,"Y"
0,"U","HOUSTON AREA",1084598,"N"
2.666666667,"N","HOUSTON AREA",1029035,"Y"
10.33333333,"U","HOUSTON AREA",1094144,"Y"
0.333333333,"U","HOUSTON AREA",1044945,"Y"
0.666666667,"U","HOUSTON AREA",1089330,""
0,"N","HOUSTON AREA",1063494,"Y"
0,"U","HOUSTON AREA",1038977,"N"
0.333333333,"Y","HOUSTON AREA",1004983,"Y"
0.666666667,"U","HOUSTON AREA",1062019,"Y"
2.333333333,"U","HOUSTON AREA",1034336,"N"
6.666666667,"Y","HOUSTON AREA",1012085,"N"
0,"U","HOUSTON AREA",1044967,"Y"
0,"N","HOUSTON AREA",1018480,"N"
1.333333333,"U","HOUSTON AREA",1057992,"Y"
7.666666667,"U","HOUSTON AREA",1066357,"Y"
1.333333333,"N","HOUSTON AREA",1010594,"Y"
0,"U","HOUSTON AREA",1084867,"N"
0.333333333,"U","HOUSTON AREA",1060075,"Y"
0,"U","HOUSTON AREA",1006912,"Y"
0.666666667,"U","HOUSTON AREA",1068225,"Y"
0,"U","HOUSTON AREA",1068059,"Y"
0.666666667,"N","HOUSTON AREA",1010807,"N"
0.333333333,"Y","HOUSTON AREA",1012766,"Y"
0,"U","HOUSTON AREA",1085783,"Y"
0,"U","HOUSTON AREA",1056287,"Y"
0.333333333,"Y","HOUSTON AREA",1009264,"N"
1.666666667,"U","HOUSTON AREA",1095350,"N"
15.33333333,"U","HOUSTON AREA",1086251,"Y"
0.666666667,"N","HOUSTON AREA",1065717,"Y"
6.666666667,"Y","HOUSTON AREA",1059607,"Y"
2.666666667,"U","HOUSTON AREA",1089560,"N"
0,"N","HOUSTON AREA",1035513,"Y"
0,"N","HOUSTON AREA",1050917,"Y"
0,"U","HOUSTON AREA",1067377,"Y"
6,"U","HOUSTON AREA",1015020,"Y"
4.666666667,"U","HOUSTON AREA",1009794,"N"
0.666666667,"U","HOUSTON AREA",1033588,"Y"
1.333333333,"U","HOUSTON AREA",1013761,"Y"
0.666666667,"U","HOUSTON AREA",1020879,"Y"
0,"N","HOUSTON AREA",1004254,"Y"
1.666666667,"Y","HOUSTON AREA",1066529,"Y"
0.333333333,"U","HOUSTON AREA",1077981,"Y"
0,"Y","HOUSTON AREA",1088404,"Y"
0,"Y","HOUSTON AREA",1044891,"Y"
1.666666667,"U","HOUSTON AREA",1052141,"N"
0,"U","HOUSTON AREA",1030274,"Y"
8,"N","HOUSTON AREA",1064460,"Y"
0,"U","HOUSTON AREA",1056564,"Y"
0,"N","HOUSTON AREA",1042565,"Y"
0,"U","HOUSTON AREA",1007959,"Y"
0,"Y","HOUSTON AREA",1075613,"Y"
0,"Y","HOUSTON AREA",1069475,"Y"
0.333333333,"N","HOUSTON AREA",1006137,"Y"
7.666666667,"N","HOUSTON AREA",1037662,"Y"
1.666666667,"U","HOUSTON AREA",1028998,"N"
0,"Y","HOUSTON AREA",1063927,"Y"
0.333333333,"U","HOUSTON AREA",1077738,"Y"
0,"N","HOUSTON AREA",1015710,"Y"
0,"U","HOUSTON AREA",1026180,"N"
7.333333333,"U","HOUSTON AREA",1042075,"Y"
1,"N","HOUSTON AREA",1053430,"Y"
1.333333333,"U","HOUSTON AREA",1081834,"N"
4.666666667,"Y","HOUSTON AREA",1028123,"Y"
0,"U","HOUSTON AREA",1057120,"N"
0.666666667,"Y","HOUSTON AREA",1034541,"Y"
0,"U","HOUSTON AREA",1065571,"Y"
0,"U","HOUSTON AREA",1063574,"N"
0,"U","HOUSTON AREA",1075684,"Y"
0,"U","HOUSTON AREA",1009201,"N"
0.666666667,"Y","HOUSTON AREA",1096865,"Y"
0,"U","HOUSTON AREA",1006355,"Y"
0.333333333,"N","HOUSTON AREA",1039662,"Y"
0,"Y","HOUSTON AREA",1000806,"Y"
18,"U","HOUSTON AREA",1029187,"Y"
0,"U","HOUSTON AREA",1041591,"N"
0,"U","HOUSTON AREA",1024845,"Y"
1.666666667,"U","HOUSTON AREA",1087910,"Y"
0,"Y","HOUSTON AREA",1015156,"Y"
0,"N","HOUSTON AREA",1032708,"Y"
0,"U","HOUSTON AREA",1052278,"Y"
0,"U","HOUSTON AREA",1072563,"Y"
1.333333333,"Y","HOUSTON AREA",1066136,"Y"
35.66666667,"U","HOUSTON AREA",1088143,"Y"
9,"N","HOUSTON AREA",1093474,"Y"
0,"Y","HOUSTON AREA",1015853,"Y"
0,"Y","HOUSTON AREA",1028628,"Y"
7.666666667,"U","HOUSTON AREA",1005898,"Y"
0.666666667,"N","HOUSTON AREA",1007178,"N"
0,"U","HOUSTON AREA",1069473,"Y"
0,"Y","HOUSTON AREA",1086777,"N"
0,"U","HOUSTON AREA",1080413,"Y"
0,"U","HOUSTON AREA",1011595,"N"
0,"N","HOUSTON AREA",1006892,"N"
0,"Y","HOUSTON AREA",1097162,"Y"
0,"N","HOUSTON AREA",1007648,"N"
0,"U","HOUSTON AREA",1029455,"Y"
0,"Y","HOUSTON AREA",1027469,"Y"
0,"U","HOUSTON AREA",1041999,"Y"
2.666666667,"N","HOUSTON AREA",1039670,"N"
0,"U","HOUSTON AREA",1096259,"N"
0,"Y","HOUSTON AREA",1045808,"Y"
0,"Y","HOUSTON AREA",1016788,"Y"
0,"U","HOUSTON AREA",1068048,"Y"
2.666666667,"N","HOUSTON AREA",1006699,"Y"
2.666666667,"U","HOUSTON AREA",1096667,"N"
0,"U","HOUSTON AREA",1069527,"N"
0.666666667,"Y","HOUSTON AREA",1002986,"Y"
5.333333333,"U","HOUSTON AREA",1097204,"Y"
9,"Y","HOUSTON AREA",1041309,"Y"
2.333333333,"N","HOUSTON AREA",1024524,"Y"
0,"N","HOUSTON AREA",1041326,"Y"
1.666666667,"N","HOUSTON AREA",1060518,"Y"
7.666666667,"U","HOUSTON AREA",1039055,"N"
0,"U","HOUSTON AREA",1046839,"Y"
0,"Y","HOUSTON AREA",1038823,"N"
0.333333333,"U","HOUSTON AREA",1064238,""
1.333333333,"U","HOUSTON AREA",1058187,"Y"
0.333333333,"U","HOUSTON AREA",1005889,"Y"
1,"U","HOUSTON AREA",1044641,"Y"
0,"U","HOUSTON AREA",1065769,"Y"
0,"Y","HOUSTON AREA",1040344,"N"
0,"U","HOUSTON AREA",1052700,"Y"
0,"Y","HOUSTON AREA",1054050,"Y"
3.333333333,"U","HOUSTON AREA",1063330,"Y"
1.333333333,"U","HOUSTON AREA",1083714,"N"
0,"Y","HOUSTON AREA",1042474,"Y"
1.666666667,"U","HOUSTON AREA",1016433,"Y"
0,"U","HOUSTON AREA",1088518,"Y"
10,"U","HOUSTON AREA",1097446,"N"
0,"U","HOUSTON AREA",1006078,"Y"
0,"N","HOUSTON AREA",1021515,"N"
0,"U","HOUSTON AREA",1050458,"N"
0,"U","HOUSTON AREA",1074000,"Y"
0,"U","HOUSTON AREA",1045777,"Y"
0,"Y","HOUSTON AREA",1029093,"Y"
0.333333333,"Y","HOUSTON AREA",1094781,"N"
32.66666667,"Y","HOUSTON AREA",1079791,"Y"
2.333333333,"N","HOUSTON AREA",1012814,"Y"
2,"U","HOUSTON AREA",1022646,"N"
0.666666667,"U","HOUSTON AREA",1064565,"Y"
0,"N","HOUSTON AREA",1053129,"Y"
0,"U","HOUSTON AREA",1056695,"Y"
0,"U","HOUSTON AREA",1038436,"Y"
0,"U","HOUSTON AREA",1058980,"Y"
0,"U","HOUSTON AREA",1090150,"Y"
0,"U","HOUSTON AREA",1049067,"Y"
