"custcare_Mean","new_cell","area","Customer_ID","creditcd"
0,"Y","LOS ANGELES AREA",1020126,"Y"
1,"Y","LOS ANGELES AREA",1040941,"N"
0,"U","LOS ANGELES AREA",1015658,"Y"
14.33333333,"U","LOS ANGELES AREA",1088347,"Y"
0,"U","LOS ANGELES AREA",1019146,"N"
0,"U","LOS ANGELES AREA",1048761,"Y"
0,"U","LOS ANGELES AREA",1063964,"Y"
0,"U","LOS ANGELES AREA",1099007,"Y"
0,"U","LOS ANGELES AREA",1090168,"Y"
16.66666667,"U","LOS ANGELES AREA",1099059,"N"
0,"U","LOS ANGELES AREA",1099655,"N"
0,"U","LOS ANGELES AREA",1099039,"Y"
6,"U","LOS ANGELES AREA",1098085,"Y"
1,"N","LOS ANGELES AREA",1055172,"N"
0,"U","LOS ANGELES AREA",1096953,"Y"
0.666666667,"U","LOS ANGELES AREA",1073746,"Y"
0.333333333,"U","LOS ANGELES AREA",1050920,"N"
0,"U","LOS ANGELES AREA",1030527,"Y"
2,"U","LOS ANGELES AREA",1090433,"Y"
18,"U","LOS ANGELES AREA",1029681,"N"
0,"U","LOS ANGELES AREA",1092224,"Y"
0,"U","LOS ANGELES AREA",1098102,"Y"
0,"U","LOS ANGELES AREA",1069709,"Y"
0,"U","LOS ANGELES AREA",1031618,"Y"
0,"U","LOS ANGELES AREA",1055842,"Y"
9.333333333,"U","LOS ANGELES AREA",1064729,"Y"
1,"U","LOS ANGELES AREA",1031281,"Y"
0,"U","LOS ANGELES AREA",1099670,"Y"
0.333333333,"U","LOS ANGELES AREA",1043233,"Y"
1.333333333,"N","LOS ANGELES AREA",1063175,"N"
0,"U","LOS ANGELES AREA",1035132,"Y"
10.66666667,"U","LOS ANGELES AREA",1031052,"Y"
1,"U","LOS ANGELES AREA",1081483,"Y"
0,"U","LOS ANGELES AREA",1098739,"Y"
3.666666667,"U","LOS ANGELES AREA",1058333,"Y"
0,"U","LOS ANGELES AREA",1051501,"Y"
0,"U","LOS ANGELES AREA",1099161,"Y"
0,"N","LOS ANGELES AREA",1026740,"N"
0,"U","LOS ANGELES AREA",1080558,"Y"
2,"U","LOS ANGELES AREA",1062316,"Y"
0.333333333,"U","LOS ANGELES AREA",1061002,"Y"
