"custcare_Mean","new_cell","area","Customer_ID","creditcd"
0,"U","MIDWEST AREA",1056697,"Y"
4,"U","MIDWEST AREA",1072218,""
0,"Y","MIDWEST AREA",1005704,"Y"
0,"U","MIDWEST AREA",1040496,"N"
1.666666667,"N","MIDWEST AREA",1050396,"N"
1,"N","MIDWEST AREA",1033811,"Y"
0,"U","MIDWEST AREA",1023352,""
0.333333333,"Y","MIDWEST AREA",1007795,"Y"
0,"U","MIDWEST AREA",1076178,"Y"
0,"N","MIDWEST AREA",1038161,"Y"
0,"N","MIDWEST AREA",1089735,"Y"
1.666666667,"U","MIDWEST AREA",1062868,"Y"
0,"U","MIDWEST AREA",1095059,"Y"
0,"U","MIDWEST AREA",1044645,"Y"
0,"N","MIDWEST AREA",1020430,"Y"
0.333333333,"U","MIDWEST AREA",1012204,"Y"
0.666666667,"U","MIDWEST AREA",1029607,"N"
0.333333333,"Y","MIDWEST AREA",1002619,"Y"
0,"U","MIDWEST AREA",1082548,"Y"
0,"N","MIDWEST AREA",1022995,"Y"
0,"N","MIDWEST AREA",1003041,"Y"
0,"U","MIDWEST AREA",1037262,"Y"
0,"U","MIDWEST AREA",1003795,"Y"
0,"U","MIDWEST AREA",1083897,"N"
3.666666667,"Y","MIDWEST AREA",1052205,"Y"
0,"U","MIDWEST AREA",1074162,"Y"
0,"N","MIDWEST AREA",1001813,""
1.333333333,"U","MIDWEST AREA",1027304,"Y"
0,"U","MIDWEST AREA",1069133,"N"
0,"Y","MIDWEST AREA",1008664,"Y"
4.666666667,"U","MIDWEST AREA",1090135,"Y"
3.333333333,"Y","MIDWEST AREA",1094482,"Y"
0,"U","MIDWEST AREA",1069917,"Y"
0,"U","MIDWEST AREA",1005263,"Y"
0,"U","MIDWEST AREA",1008625,"Y"
0,"N","MIDWEST AREA",1053006,"N"
1.666666667,"U","MIDWEST AREA",1031126,"Y"
0,"U","MIDWEST AREA",1019269,"Y"
2.666666667,"U","MIDWEST AREA",1030440,"Y"
0,"U","MIDWEST AREA",1017251,"Y"
0,"N","MIDWEST AREA",1076337,"Y"
0,"U","MIDWEST AREA",1000672,"Y"
1,"Y","MIDWEST AREA",1086866,"N"
30,"U","MIDWEST AREA",1069830,"N"
0,"Y","MIDWEST AREA",1037171,"Y"
0,"U","MIDWEST AREA",1096403,"N"
9,"Y","MIDWEST AREA",1085702,"N"
0.333333333,"Y","MIDWEST AREA",1062384,"N"
10.33333333,"Y","MIDWEST AREA",1033198,"N"
14.66666667,"Y","MIDWEST AREA",1020189,"Y"
9.666666667,"Y","MIDWEST AREA",1049057,"Y"
0,"U","MIDWEST AREA",1013661,"Y"
0,"U","MIDWEST AREA",1010730,"Y"
7,"N","MIDWEST AREA",1037622,"Y"
0,"U","MIDWEST AREA",1093259,"Y"
0,"N","MIDWEST AREA",1001890,"Y"
9.333333333,"U","MIDWEST AREA",1043962,"N"
0,"U","MIDWEST AREA",1052845,"Y"
2.666666667,"U","MIDWEST AREA",1039305,"N"
1.333333333,"U","MIDWEST AREA",1026475,"N"
7.666666667,"N","MIDWEST AREA",1035356,"N"
0,"N","MIDWEST AREA",1027056,"Y"
0,"Y","MIDWEST AREA",1016589,"Y"
0,"U","MIDWEST AREA",1082295,"Y"
3.666666667,"U","MIDWEST AREA",1024935,"Y"
0,"N","MIDWEST AREA",1037576,"Y"
0,"N","MIDWEST AREA",1032891,"N"
2.333333333,"U","MIDWEST AREA",1027688,"N"
1.666666667,"Y","MIDWEST AREA",1036858,"Y"
0,"U","MIDWEST AREA",1028940,"Y"
0,"U","MIDWEST AREA",1053010,"Y"
2.666666667,"U","MIDWEST AREA",1090952,"N"
0,"N","MIDWEST AREA",1057373,"Y"
0,"N","MIDWEST AREA",1042687,"Y"
14.33333333,"Y","MIDWEST AREA",1089504,"Y"
0.666666667,"U","MIDWEST AREA",1035503,"N"
0,"U","MIDWEST AREA",1003587,"Y"
0,"Y","MIDWEST AREA",1010166,""
0.333333333,"U","MIDWEST AREA",1053781,"Y"
0,"U","MIDWEST AREA",1087877,"Y"
0,"U","MIDWEST AREA",1059222,"N"
0,"U","MIDWEST AREA",1091358,"Y"
0.333333333,"U","MIDWEST AREA",1075250,"Y"
15.66666667,"U","MIDWEST AREA",1050219,"Y"
0.666666667,"U","MIDWEST AREA",1058420,"Y"
6,"N","MIDWEST AREA",1070000,"Y"
0,"N","MIDWEST AREA",1059683,"Y"
0,"Y","MIDWEST AREA",1008167,"Y"
0,"U","MIDWEST AREA",1055452,"N"
0,"U","MIDWEST AREA",1010646,"Y"
0,"Y","MIDWEST AREA",1061302,"Y"
0,"U","MIDWEST AREA",1020456,"N"
0,"Y","MIDWEST AREA",1089227,"Y"
0,"U","MIDWEST AREA",1081216,"Y"
0,"U","MIDWEST AREA",1055178,"N"
1,"U","MIDWEST AREA",1004549,"Y"
0,"Y","MIDWEST AREA",1016344,"Y"
2.666666667,"U","MIDWEST AREA",1022005,"Y"
