"custcare_Mean","new_cell","area","Customer_ID","creditcd"
14.33333333,"U","NEW ENGLAND AREA",1082423,"Y"
0,"U","NEW ENGLAND AREA",1076771,"Y"
0,"U","NEW ENGLAND AREA",1083737,"Y"
0,"N","NEW ENGLAND AREA",1078557,"Y"
2,"N","NEW ENGLAND AREA",1018015,"Y"
0,"U","NEW ENGLAND AREA",1005998,"Y"
0,"U","NEW ENGLAND AREA",1076112,"N"
0,"U","NEW ENGLAND AREA",1027338,"Y"
0,"Y","NEW ENGLAND AREA",1054933,"Y"
0,"U","NEW ENGLAND AREA",1059340,"Y"
0,"U","NEW ENGLAND AREA",1048824,"Y"
0,"Y","NEW ENGLAND AREA",1062791,"N"
0,"U","NEW ENGLAND AREA",1091035,"N"
0,"U","NEW ENGLAND AREA",1065784,"Y"
0,"U","NEW ENGLAND AREA",1066989,"Y"
0,"U","NEW ENGLAND AREA",1078433,"N"
0.666666667,"U","NEW ENGLAND AREA",1047480,"Y"
0,"N","NEW ENGLAND AREA",1045008,"Y"
0,"U","NEW ENGLAND AREA",1018300,"Y"
0,"Y","NEW ENGLAND AREA",1075392,"Y"
0,"U","NEW ENGLAND AREA",1035670,"Y"
0,"Y","NEW ENGLAND AREA",1072414,"N"
0,"U","NEW ENGLAND AREA",1031169,"Y"
0,"U","NEW ENGLAND AREA",1084123,"Y"
0,"Y","NEW ENGLAND AREA",1024391,"Y"
0.666666667,"U","NEW ENGLAND AREA",1034322,"Y"
0,"N","NEW ENGLAND AREA",1064429,"Y"
0,"Y","NEW ENGLAND AREA",1077764,"Y"
0,"U","NEW ENGLAND AREA",1073848,"Y"
0,"U","NEW ENGLAND AREA",1086331,""
0,"U","NEW ENGLAND AREA",1064918,"Y"
0,"U","NEW ENGLAND AREA",1047927,"Y"
0,"U","NEW ENGLAND AREA",1015855,"Y"
0.333333333,"U","NEW ENGLAND AREA",1046945,"Y"
0.666666667,"U","NEW ENGLAND AREA",1038869,"Y"
0,"Y","NEW ENGLAND AREA",1049509,"Y"
3,"U","NEW ENGLAND AREA",1095329,"N"
0,"U","NEW ENGLAND AREA",1071708,"Y"
0,"N","NEW ENGLAND AREA",1032517,"Y"
0,"Y","NEW ENGLAND AREA",1023196,"Y"
0,"U","NEW ENGLAND AREA",1047576,"N"
0,"Y","NEW ENGLAND AREA",1065829,"Y"
0,"U","NEW ENGLAND AREA",1024129,"Y"
3,"Y","NEW ENGLAND AREA",1038657,"N"
0,"U","NEW ENGLAND AREA",1072459,"Y"
0,"U","NEW ENGLAND AREA",1006240,"Y"
0.666666667,"U","NEW ENGLAND AREA",1062490,"Y"
0,"Y","NEW ENGLAND AREA",1017605,"N"
4,"U","NEW ENGLAND AREA",1030731,"Y"
0,"Y","NEW ENGLAND AREA",1088025,"N"
0,"U","NEW ENGLAND AREA",1071161,"Y"
0,"Y","NEW ENGLAND AREA",1081192,"N"
0,"U","NEW ENGLAND AREA",1046053,"Y"
0,"Y","NEW ENGLAND AREA",1062695,"N"
0.666666667,"U","NEW ENGLAND AREA",1020153,"N"
3,"Y","NEW ENGLAND AREA",1034574,"Y"
0,"Y","NEW ENGLAND AREA",1090109,"N"
7.666666667,"U","NEW ENGLAND AREA",1007907,"N"
0,"Y","NEW ENGLAND AREA",1013356,"Y"
0,"U","NEW ENGLAND AREA",1045650,"Y"
0.666666667,"U","NEW ENGLAND AREA",1092520,"N"
8.333333333,"Y","NEW ENGLAND AREA",1010189,"Y"
0,"U","NEW ENGLAND AREA",1011918,"Y"
4,"U","NEW ENGLAND AREA",1092027,"N"
0,"U","NEW ENGLAND AREA",1058733,"N"
0,"Y","NEW ENGLAND AREA",1042114,"N"
2.333333333,"N","NEW ENGLAND AREA",1006220,"N"
0,"N","NEW ENGLAND AREA",1044348,"Y"
0,"Y","NEW ENGLAND AREA",1036167,"Y"
0,"Y","NEW ENGLAND AREA",1012890,"Y"
2.666666667,"U","NEW ENGLAND AREA",1083377,"Y"
0.666666667,"U","NEW ENGLAND AREA",1025637,"Y"
10,"U","NEW ENGLAND AREA",1031213,"Y"
2.666666667,"N","NEW ENGLAND AREA",1084101,"N"
0,"U","NEW ENGLAND AREA",1033132,"Y"
0,"U","NEW ENGLAND AREA",1040155,"N"
0,"N","NEW ENGLAND AREA",1017887,"Y"
1.666666667,"U","NEW ENGLAND AREA",1057948,"Y"
0.666666667,"U","NEW ENGLAND AREA",1042848,"Y"
0,"N","NEW ENGLAND AREA",1051003,"Y"
0,"U","NEW ENGLAND AREA",1070845,"Y"
0,"U","NEW ENGLAND AREA",1088578,"Y"
4.333333333,"U","NEW ENGLAND AREA",1042671,"Y"
10,"Y","NEW ENGLAND AREA",1084648,"N"
0.666666667,"U","NEW ENGLAND AREA",1035511,"Y"
0,"Y","NEW ENGLAND AREA",1029570,"Y"
4,"U","NEW ENGLAND AREA",1060378,"Y"
0,"U","NEW ENGLAND AREA",1092945,"Y"
0,"Y","NEW ENGLAND AREA",1037711,"Y"
0.666666667,"U","NEW ENGLAND AREA",1034084,"N"
8.666666667,"N","NEW ENGLAND AREA",1023635,"Y"
0,"U","NEW ENGLAND AREA",1038650,"Y"
2,"U","NEW ENGLAND AREA",1056603,"N"
0,"U","NEW ENGLAND AREA",1062373,"Y"
0,"U","NEW ENGLAND AREA",1012586,"Y"
0,"U","NEW ENGLAND AREA",1093141,"Y"
2.333333333,"N","NEW ENGLAND AREA",1020706,"Y"
2,"Y","NEW ENGLAND AREA",1090121,"N"
11,"Y","NEW ENGLAND AREA",1059146,"Y"
0,"N","NEW ENGLAND AREA",1013848,"Y"
0,"U","NEW ENGLAND AREA",1044054,"Y"
0.666666667,"U","NEW ENGLAND AREA",1003955,"Y"
0,"N","NEW ENGLAND AREA",1001606,"Y"
0,"U","NEW ENGLAND AREA",1043011,"N"
8,"Y","NEW ENGLAND AREA",1087989,"Y"
3.666666667,"U","NEW ENGLAND AREA",1079668,"N"
2,"N","NEW ENGLAND AREA",1075134,"Y"
0,"U","NEW ENGLAND AREA",1070823,"Y"
2.666666667,"U","NEW ENGLAND AREA",1097255,"Y"
0,"U","NEW ENGLAND AREA",1022715,"N"
0,"U","NEW ENGLAND AREA",1025944,"Y"
4.333333333,"U","NEW ENGLAND AREA",1073931,"N"
0,"U","NEW ENGLAND AREA",1021308,"N"
2,"U","NEW ENGLAND AREA",1058361,"N"
0,"U","NEW ENGLAND AREA",1084134,"Y"
4.333333333,"U","NEW ENGLAND AREA",1086597,"N"
0.333333333,"Y","NEW ENGLAND AREA",1003505,"Y"
0,"U","NEW ENGLAND AREA",1048627,"Y"
0,"Y","NEW ENGLAND AREA",1030445,"Y"
