"custcare_Mean","new_cell","area","Customer_ID","creditcd"
3,"U","NEW YORK CITY AREA",1031705,"Y"
7,"U","NEW YORK CITY AREA",1091652,"Y"
0.333333333,"Y","NEW YORK CITY AREA",1013855,"Y"
11.66666667,"Y","NEW YORK CITY AREA",1055064,"N"
0,"U","NEW YORK CITY AREA",1062755,"Y"
1,"U","NEW YORK CITY AREA",1086911,"Y"
2,"U","NEW YORK CITY AREA",1027630,"Y"
0,"N","NEW YORK CITY AREA",1049266,"Y"
0,"Y","NEW YORK CITY AREA",1028772,"Y"
1.333333333,"U","NEW YORK CITY AREA",1018335,"N"
1.333333333,"U","NEW YORK CITY AREA",1089902,"Y"
0.333333333,"N","NEW YORK CITY AREA",1047944,"Y"
0,"Y","NEW YORK CITY AREA",1017236,"Y"
0,"U","NEW YORK CITY AREA",1021284,"Y"
6.666666667,"U","NEW YORK CITY AREA",1032537,"Y"
0,"Y","NEW YORK CITY AREA",1065065,"Y"
0,"U","NEW YORK CITY AREA",1066934,"Y"
0,"U","NEW YORK CITY AREA",1017405,"Y"
0.666666667,"Y","NEW YORK CITY AREA",1034603,"Y"
0,"Y","NEW YORK CITY AREA",1021722,"Y"
0,"Y","NEW YORK CITY AREA",1015715,"Y"
0.333333333,"Y","NEW YORK CITY AREA",1025682,"Y"
0,"U","NEW YORK CITY AREA",1041906,"Y"
0,"N","NEW YORK CITY AREA",1015682,"Y"
0.666666667,"U","NEW YORK CITY AREA",1033966,"N"
0,"U","NEW YORK CITY AREA",1057695,"Y"
6,"Y","NEW YORK CITY AREA",1035849,"N"
0,"U","NEW YORK CITY AREA",1052776,"Y"
27.66666667,"U","NEW YORK CITY AREA",1080979,"Y"
0,"U","NEW YORK CITY AREA",1031092,"Y"
8.333333333,"U","NEW YORK CITY AREA",1093205,"Y"
0.333333333,"U","NEW YORK CITY AREA",1035552,"N"
0,"N","NEW YORK CITY AREA",1007984,"Y"
1.666666667,"N","NEW YORK CITY AREA",1071057,"Y"
0,"U","NEW YORK CITY AREA",1083624,"Y"
0,"U","NEW YORK CITY AREA",1018980,"Y"
0,"Y","NEW YORK CITY AREA",1039221,"N"
0,"N","NEW YORK CITY AREA",1068435,"Y"
0,"U","NEW YORK CITY AREA",1041879,"Y"
2.666666667,"U","NEW YORK CITY AREA",1057302,"Y"
2,"U","NEW YORK CITY AREA",1033802,"Y"
4,"U","NEW YORK CITY AREA",1055424,"Y"
11,"U","NEW YORK CITY AREA",1056945,"N"
0,"U","NEW YORK CITY AREA",1011689,"Y"
1.666666667,"N","NEW YORK CITY AREA",1035416,"Y"
4,"U","NEW YORK CITY AREA",1077297,"Y"
0,"U","NEW YORK CITY AREA",1084884,"Y"
14.33333333,"U","NEW YORK CITY AREA",1078621,"N"
0.666666667,"N","NEW YORK CITY AREA",1015789,"Y"
0,"U","NEW YORK CITY AREA",1073424,"Y"
0,"Y","NEW YORK CITY AREA",1026134,"Y"
0,"U","NEW YORK CITY AREA",1050824,"Y"
0,"Y","NEW YORK CITY AREA",1009771,"Y"
2.333333333,"U","NEW YORK CITY AREA",1064221,"Y"
0,"U","NEW YORK CITY AREA",1050577,"N"
1,"U","NEW YORK CITY AREA",1005730,"Y"
0,"N","NEW YORK CITY AREA",1037162,"Y"
4,"U","NEW YORK CITY AREA",1018653,"Y"
0.666666667,"Y","NEW YORK CITY AREA",1054125,"N"
2,"Y","NEW YORK CITY AREA",1028714,"N"
