"custcare_Mean","new_cell","area","Customer_ID","creditcd"
0,"U","NORTH FLORIDA AREA",1076695,"N"
0,"U","NORTH FLORIDA AREA",1045505,"Y"
1.333333333,"U","NORTH FLORIDA AREA",1019639,"Y"
0,"N","NORTH FLORIDA AREA",1011394,"Y"
0,"U","NORTH FLORIDA AREA",1063735,"N"
0.333333333,"Y","NORTH FLORIDA AREA",1013735,"Y"
0,"U","NORTH FLORIDA AREA",1038362,"Y"
0,"U","NORTH FLORIDA AREA",1055498,"Y"
10,"Y","NORTH FLORIDA AREA",1086639,"N"
0,"U","NORTH FLORIDA AREA",1023989,"Y"
0,"N","NORTH FLORIDA AREA",1066152,"Y"
0.666666667,"N","NORTH FLORIDA AREA",1008888,"N"
0,"N","NORTH FLORIDA AREA",1043981,"N"
1,"N","NORTH FLORIDA AREA",1016106,"Y"
0,"U","NORTH FLORIDA AREA",1035477,"Y"
0.666666667,"Y","NORTH FLORIDA AREA",1019593,"Y"
0,"N","NORTH FLORIDA AREA",1013257,"N"
0,"U","NORTH FLORIDA AREA",1047520,"Y"
0,"U","NORTH FLORIDA AREA",1055888,"N"
24.66666667,"U","NORTH FLORIDA AREA",1066029,"N"
0,"U","NORTH FLORIDA AREA",1018329,"Y"
0,"U","NORTH FLORIDA AREA",1066629,"N"
0,"U","NORTH FLORIDA AREA",1025393,"Y"
1.666666667,"U","NORTH FLORIDA AREA",1025069,"Y"
0,"U","NORTH FLORIDA AREA",1025315,"N"
0,"Y","NORTH FLORIDA AREA",1049910,"Y"
4,"U","NORTH FLORIDA AREA",1009884,"Y"
0,"N","NORTH FLORIDA AREA",1017717,""
0,"N","NORTH FLORIDA AREA",1027483,"Y"
0,"U","NORTH FLORIDA AREA",1081810,"Y"
0,"U","NORTH FLORIDA AREA",1006174,"Y"
14,"U","NORTH FLORIDA AREA",1092602,"Y"
0.666666667,"Y","NORTH FLORIDA AREA",1083350,"Y"
0,"U","NORTH FLORIDA AREA",1031740,"N"
0.666666667,"U","NORTH FLORIDA AREA",1093798,"Y"
1.666666667,"U","NORTH FLORIDA AREA",1042914,"Y"
0,"U","NORTH FLORIDA AREA",1054601,"Y"
0,"Y","NORTH FLORIDA AREA",1010603,"N"
0,"N","NORTH FLORIDA AREA",1013846,"Y"
0.666666667,"N","NORTH FLORIDA AREA",1043997,"N"
0,"U","NORTH FLORIDA AREA",1056074,"N"
0,"U","NORTH FLORIDA AREA",1089158,"Y"
0,"U","NORTH FLORIDA AREA",1076761,"Y"
0,"U","NORTH FLORIDA AREA",1095357,"N"
0,"U","NORTH FLORIDA AREA",1019470,"Y"
1.333333333,"N","NORTH FLORIDA AREA",1028743,"Y"
4.333333333,"U","NORTH FLORIDA AREA",1080926,"Y"
0,"U","NORTH FLORIDA AREA",1049679,"Y"
0,"Y","NORTH FLORIDA AREA",1013513,"Y"
6.666666667,"U","NORTH FLORIDA AREA",1073360,"Y"
6.666666667,"U","NORTH FLORIDA AREA",1035504,"N"
0,"U","NORTH FLORIDA AREA",1073209,"Y"
0,"U","NORTH FLORIDA AREA",1066520,"N"
5,"Y","NORTH FLORIDA AREA",1013164,"N"
15.66666667,"U","NORTH FLORIDA AREA",1059415,"Y"
0,"U","NORTH FLORIDA AREA",1079739,"Y"
1.333333333,"U","NORTH FLORIDA AREA",1074971,"Y"
0,"U","NORTH FLORIDA AREA",1078503,"Y"
43,"U","NORTH FLORIDA AREA",1080525,"N"
0,"N","NORTH FLORIDA AREA",1097238,"N"
0,"U","NORTH FLORIDA AREA",1077265,"Y"
6.666666667,"Y","NORTH FLORIDA AREA",1070633,"Y"
0,"U","NORTH FLORIDA AREA",1088197,"N"
0,"U","NORTH FLORIDA AREA",1074289,"Y"
0,"U","NORTH FLORIDA AREA",1089332,"N"
0,"U","NORTH FLORIDA AREA",1094160,"N"
9,"U","NORTH FLORIDA AREA",1093685,"N"
0,"N","NORTH FLORIDA AREA",1019047,"Y"
0,"Y","NORTH FLORIDA AREA",1005108,"Y"
0,"U","NORTH FLORIDA AREA",1061755,"N"
