"custcare_Mean","new_cell","area","Customer_ID","creditcd"
0,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1057800,"Y"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1021478,"Y"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1091059,"N"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1091061,"N"
0.666666667,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1068378,"Y"
27.33333333,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1045750,"N"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1051671,"N"
6,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1011210,"N"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1057553,"Y"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1060712,"Y"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1052250,"N"
6.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1009778,"N"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1006388,"Y"
10.66666667,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1020752,"N"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1067870,"N"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1092474,"N"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1083107,"Y"
5.333333333,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1066999,"N"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1079311,"N"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1065412,"N"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1032539,"Y"
2.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1067422,"Y"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1088872,"Y"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1020073,"Y"
0.333333333,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1041407,"N"
0.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1042140,"Y"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1018139,"Y"
0,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1000398,"Y"
0.666666667,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1059638,"Y"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1022227,"Y"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1038104,"Y"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1096976,"Y"
4.666666667,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1000957,"Y"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1076927,"Y"
0,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1095528,"N"
0,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1013135,"Y"
0.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1089089,"Y"
1.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1040919,"N"
3.666666667,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1090002,"N"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1075383,"Y"
0,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1006629,"Y"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1039463,"N"
0.666666667,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1013004,"Y"
0.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1082023,"Y"
1.666666667,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1080140,"Y"
0.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1044226,"N"
1.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1083342,"Y"
0,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1095795,"N"
0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1074316,"Y"
0,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1002031,"N"
