"custcare_Mean","new_cell","area","Customer_ID","creditcd"
0,"N","OHIO AREA",1011089,"Y"
0.333333333,"U","OHIO AREA",1056196,"Y"
0,"U","OHIO AREA",1071184,"Y"
0,"U","OHIO AREA",1090228,"Y"
0,"N","OHIO AREA",1004669,"Y"
0.333333333,"U","OHIO AREA",1042810,"Y"
0,"N","OHIO AREA",1019827,"N"
0,"U","OHIO AREA",1005423,"Y"
17.66666667,"U","OHIO AREA",1089051,"N"
0.333333333,"U","OHIO AREA",1054447,"N"
0.333333333,"U","OHIO AREA",1040422,"Y"
0,"U","OHIO AREA",1058824,"N"
0,"U","OHIO AREA",1078984,"Y"
0,"U","OHIO AREA",1065069,"Y"
0,"U","OHIO AREA",1041363,"N"
0,"Y","OHIO AREA",1030345,"Y"
0,"U","OHIO AREA",1070297,"Y"
1,"U","OHIO AREA",1030534,"Y"
2,"U","OHIO AREA",1024220,"Y"
0.666666667,"N","OHIO AREA",1015137,"N"
1,"U","OHIO AREA",1057764,"N"
0,"U","OHIO AREA",1030157,"Y"
0,"Y","OHIO AREA",1019935,"Y"
0,"U","OHIO AREA",1067140,"Y"
0,"U","OHIO AREA",1024124,"N"
1,"Y","OHIO AREA",1009534,"N"
7.333333333,"Y","OHIO AREA",1021576,"N"
3.333333333,"U","OHIO AREA",1075808,"Y"
10.66666667,"U","OHIO AREA",1083443,"Y"
0.666666667,"U","OHIO AREA",1067472,"N"
0,"U","OHIO AREA",1014707,"Y"
0,"U","OHIO AREA",1070770,"Y"
1,"U","OHIO AREA",1090242,"Y"
1.666666667,"U","OHIO AREA",1078876,"Y"
0,"U","OHIO AREA",1082120,"Y"
0,"Y","OHIO AREA",1017574,"Y"
0,"Y","OHIO AREA",1033513,"Y"
14.66666667,"N","OHIO AREA",1073117,"Y"
6.666666667,"U","OHIO AREA",1089744,"Y"
0,"U","OHIO AREA",1079356,"N"
0,"U","OHIO AREA",1009168,""
1,"U","OHIO AREA",1083468,"Y"
4,"Y","OHIO AREA",1075783,"Y"
0.333333333,"U","OHIO AREA",1093973,"Y"
0,"U","OHIO AREA",1081405,"Y"
1,"N","OHIO AREA",1004447,"Y"
0,"U","OHIO AREA",1077779,"Y"
0,"U","OHIO AREA",1074529,"Y"
0,"Y","OHIO AREA",1077990,"Y"
0,"U","OHIO AREA",1081152,"N"
0.333333333,"N","OHIO AREA",1061229,"N"
0,"N","OHIO AREA",1013861,"Y"
7.333333333,"U","OHIO AREA",1094809,"N"
3.666666667,"N","OHIO AREA",1025068,"Y"
0,"U","OHIO AREA",1060843,"N"
0,"Y","OHIO AREA",1021356,"Y"
6.666666667,"U","OHIO AREA",1089043,"Y"
0,"U","OHIO AREA",1016610,"Y"
5.333333333,"N","OHIO AREA",1079035,"N"
0,"Y","OHIO AREA",1021747,"Y"
2,"N","OHIO AREA",1004811,"Y"
8.666666667,"U","OHIO AREA",1054961,"Y"
0,"U","OHIO AREA",1025371,"Y"
2.333333333,"U","OHIO AREA",1078281,"Y"
2.333333333,"Y","OHIO AREA",1062813,"N"
0,"U","OHIO AREA",1060118,"N"
0,"U","OHIO AREA",1050057,"Y"
0,"U","OHIO AREA",1015518,"Y"
0,"Y","OHIO AREA",1019038,"Y"
7.333333333,"U","OHIO AREA",1055226,"N"
4.666666667,"U","OHIO AREA",1064723,"N"
1.333333333,"Y","OHIO AREA",1028075,"Y"
0,"U","OHIO AREA",1016550,"Y"
0,"Y","OHIO AREA",1023153,"Y"
0.333333333,"U","OHIO AREA",1052295,"Y"
0,"U","OHIO AREA",1066190,"Y"
0,"U","OHIO AREA",1069495,"Y"
0,"U","OHIO AREA",1040787,"Y"
0,"U","OHIO AREA",1075259,"Y"
0.666666667,"U","OHIO AREA",1062079,"N"
0.333333333,"Y","OHIO AREA",1013098,"Y"
0,"U","OHIO AREA",1019028,"Y"
2.666666667,"Y","OHIO AREA",1085944,"N"
0,"N","OHIO AREA",1048412,"Y"
1,"U","OHIO AREA",1017858,"Y"
0.666666667,"U","OHIO AREA",1072906,"Y"
0.333333333,"U","OHIO AREA",1054646,"Y"
0,"U","OHIO AREA",1023158,"Y"
0,"U","OHIO AREA",1038109,"Y"
0,"U","OHIO AREA",1010414,"Y"
4,"U","OHIO AREA",1060270,"Y"
0,"U","OHIO AREA",1041198,"Y"
6.666666667,"U","OHIO AREA",1077138,"Y"
0,"N","OHIO AREA",1075476,"Y"
0.666666667,"U","OHIO AREA",1086488,"Y"
7.666666667,"U","OHIO AREA",1014587,"Y"
0,"U","OHIO AREA",1062119,"Y"
12,"U","OHIO AREA",1031780,"Y"
0.666666667,"U","OHIO AREA",1012610,"Y"
4.333333333,"N","OHIO AREA",1039309,"Y"
0,"N","OHIO AREA",1002267,"Y"
0,"Y","OHIO AREA",1073265,"Y"
0,"U","OHIO AREA",1081525,"Y"
0.333333333,"U","OHIO AREA",1078263,"Y"
6.666666667,"N","OHIO AREA",1011997,"Y"
0,"U","OHIO AREA",1031985,"Y"
0.666666667,"U","OHIO AREA",1076467,"N"
9,"U","OHIO AREA",1083156,"Y"
0,"U","OHIO AREA",1070384,"N"
0,"U","OHIO AREA",1014317,"Y"
0,"U","OHIO AREA",1079679,"Y"
5,"N","OHIO AREA",1020346,"N"
17.66666667,"Y","OHIO AREA",1028927,"Y"
0,"U","OHIO AREA",1017480,"Y"
15.66666667,"U","OHIO AREA",1093889,"Y"
11.33333333,"U","OHIO AREA",1060375,"Y"
0,"U","OHIO AREA",1045975,"Y"
0.333333333,"N","OHIO AREA",1026701,"Y"
1.333333333,"U","OHIO AREA",1077274,"Y"
0.666666667,"N","OHIO AREA",1077262,"N"
0,"U","OHIO AREA",1050249,"Y"
0,"U","OHIO AREA",1060861,"Y"
0,"U","OHIO AREA",1037354,"Y"
5.333333333,"U","OHIO AREA",1011465,"Y"
1,"U","OHIO AREA",1030895,"N"
0,"U","OHIO AREA",1073797,"N"
2.333333333,"U","OHIO AREA",1058135,"Y"
0,"U","OHIO AREA",1040235,"Y"
0,"U","OHIO AREA",1024576,"Y"
1.333333333,"U","OHIO AREA",1011265,"N"
0,"U","OHIO AREA",1065943,"Y"
0,"N","OHIO AREA",1011028,"Y"
2,"N","OHIO AREA",1055235,"N"
0.333333333,"U","OHIO AREA",1076655,"Y"
0.333333333,"U","OHIO AREA",1014179,"Y"
