"custcare_Mean","new_cell","area","Customer_ID","creditcd"
0,"U","PHILADELPHIA AREA",1032592,"Y"
2.333333333,"Y","PHILADELPHIA AREA",1024580,"Y"
0,"U","PHILADELPHIA AREA",1044265,"N"
16,"U","PHILADELPHIA AREA",1075560,"N"
4.333333333,"N","PHILADELPHIA AREA",1026798,"Y"
0,"U","PHILADELPHIA AREA",1066125,"Y"
0,"Y","PHILADELPHIA AREA",1057755,"Y"
0,"U","PHILADELPHIA AREA",1019071,"Y"
0,"U","PHILADELPHIA AREA",1069367,"Y"
0,"N","PHILADELPHIA AREA",1000785,"Y"
0,"N","PHILADELPHIA AREA",1049364,"Y"
0,"Y","PHILADELPHIA AREA",1023906,"Y"
1,"U","PHILADELPHIA AREA",1075124,"Y"
7.333333333,"Y","PHILADELPHIA AREA",1086592,"Y"
12.66666667,"Y","PHILADELPHIA AREA",1037393,"Y"
14.66666667,"N","PHILADELPHIA AREA",1056729,"N"
0,"Y","PHILADELPHIA AREA",1046960,"N"
0,"U","PHILADELPHIA AREA",1001133,"Y"
0,"U","PHILADELPHIA AREA",1047884,"Y"
0,"U","PHILADELPHIA AREA",1071730,"Y"
2.666666667,"U","PHILADELPHIA AREA",1091963,"Y"
0,"U","PHILADELPHIA AREA",1032487,"Y"
0,"U","PHILADELPHIA AREA",1063413,"Y"
0,"Y","PHILADELPHIA AREA",1000368,"Y"
0,"Y","PHILADELPHIA AREA",1015474,"Y"
0.666666667,"Y","PHILADELPHIA AREA",1045258,"N"
0,"U","PHILADELPHIA AREA",1060968,"Y"
0,"N","PHILADELPHIA AREA",1068926,"Y"
4,"Y","PHILADELPHIA AREA",1036484,"N"
0,"U","PHILADELPHIA AREA",1065220,"Y"
0,"U","PHILADELPHIA AREA",1036871,"Y"
0,"Y","PHILADELPHIA AREA",1007369,"Y"
0,"U","PHILADELPHIA AREA",1030361,"Y"
0,"U","PHILADELPHIA AREA",1059246,""
0,"U","PHILADELPHIA AREA",1029342,"Y"
6.333333333,"Y","PHILADELPHIA AREA",1050096,"Y"
0.333333333,"Y","PHILADELPHIA AREA",1003001,"N"
0.666666667,"U","PHILADELPHIA AREA",1005325,"N"
0.333333333,"N","PHILADELPHIA AREA",1092495,"N"
0.333333333,"N","PHILADELPHIA AREA",1091057,"N"
45.33333333,"U","PHILADELPHIA AREA",1038783,"Y"
1.666666667,"U","PHILADELPHIA AREA",1067191,"Y"
0,"U","PHILADELPHIA AREA",1016498,"Y"
0,"Y","PHILADELPHIA AREA",1016538,"Y"
0,"U","PHILADELPHIA AREA",1054679,"Y"
0,"U","PHILADELPHIA AREA",1089967,"Y"
4,"U","PHILADELPHIA AREA",1025383,"Y"
0,"U","PHILADELPHIA AREA",1004136,"Y"
0,"U","PHILADELPHIA AREA",1073027,"Y"
0.333333333,"U","PHILADELPHIA AREA",1019738,"Y"
0,"Y","PHILADELPHIA AREA",1081054,"Y"
3,"U","PHILADELPHIA AREA",1026642,"N"
0,"Y","PHILADELPHIA AREA",1040153,"N"
0,"N","PHILADELPHIA AREA",1033593,"Y"
0,"Y","PHILADELPHIA AREA",1029040,"Y"
0,"U","PHILADELPHIA AREA",1056256,"Y"
3,"Y","PHILADELPHIA AREA",1042819,"N"
1.666666667,"N","PHILADELPHIA AREA",1043632,"N"
1,"N","PHILADELPHIA AREA",1074561,"Y"
16,"U","PHILADELPHIA AREA",1072494,"Y"
0.333333333,"U","PHILADELPHIA AREA",1054355,"N"
0,"U","PHILADELPHIA AREA",1025707,"Y"
3.666666667,"U","PHILADELPHIA AREA",1054482,"N"
0,"Y","PHILADELPHIA AREA",1058610,"Y"
0.333333333,"U","PHILADELPHIA AREA",1024857,"Y"
2,"U","PHILADELPHIA AREA",1066641,"Y"
1.333333333,"U","PHILADELPHIA AREA",1033377,"N"
0,"Y","PHILADELPHIA AREA",1000845,"Y"
2.333333333,"U","PHILADELPHIA AREA",1036854,"N"
0,"U","PHILADELPHIA AREA",1017554,"Y"
24.33333333,"U","PHILADELPHIA AREA",1096100,"Y"
0.666666667,"Y","PHILADELPHIA AREA",1005403,"N"
0,"U","PHILADELPHIA AREA",1065945,"Y"
0,"Y","PHILADELPHIA AREA",1095501,"Y"
0,"U","PHILADELPHIA AREA",1060756,""
3.666666667,"Y","PHILADELPHIA AREA",1068291,"Y"
0.666666667,"U","PHILADELPHIA AREA",1058073,"N"
0.666666667,"U","PHILADELPHIA AREA",1027163,"Y"
0,"Y","PHILADELPHIA AREA",1044107,"Y"
1.666666667,"U","PHILADELPHIA AREA",1091245,"N"
0,"U","PHILADELPHIA AREA",1036382,"Y"
0,"U","PHILADELPHIA AREA",1027824,"N"
0.333333333,"U","PHILADELPHIA AREA",1075781,"Y"
1.333333333,"U","PHILADELPHIA AREA",1006532,"Y"
0,"U","PHILADELPHIA AREA",1031586,"Y"
6.333333333,"U","PHILADELPHIA AREA",1095251,"N"
1,"Y","PHILADELPHIA AREA",1031261,"Y"
0,"U","PHILADELPHIA AREA",1082126,"Y"
0,"U","PHILADELPHIA AREA",1066653,"N"
2.333333333,"Y","PHILADELPHIA AREA",1073223,"N"
0,"Y","PHILADELPHIA AREA",1081258,"N"
0,"U","PHILADELPHIA AREA",1055446,"N"
0,"U","PHILADELPHIA AREA",1091197,"Y"
0,"U","PHILADELPHIA AREA",1066452,"N"
