"custcare_Mean","new_cell","area","Customer_ID","creditcd"
0,"U","SOUTH FLORIDA AREA",1070208,"Y"
1,"U","SOUTH FLORIDA AREA",1051859,"Y"
2.333333333,"N","SOUTH FLORIDA AREA",1035282,"N"
0,"U","SOUTH FLORIDA AREA",1025479,"Y"
0,"U","SOUTH FLORIDA AREA",1023124,"Y"
0,"U","SOUTH FLORIDA AREA",1047382,"Y"
1,"U","SOUTH FLORIDA AREA",1057649,"Y"
0.666666667,"U","SOUTH FLORIDA AREA",1079122,"Y"
0,"U","SOUTH FLORIDA AREA",1045521,""
0.333333333,"N","SOUTH FLORIDA AREA",1001932,"Y"
0,"Y","SOUTH FLORIDA AREA",1069086,"N"
5.333333333,"U","SOUTH FLORIDA AREA",1036707,"N"
0.333333333,"U","SOUTH FLORIDA AREA",1016046,"Y"
0,"N","SOUTH FLORIDA AREA",1009905,"N"
6,"Y","SOUTH FLORIDA AREA",1032256,"Y"
9.333333333,"Y","SOUTH FLORIDA AREA",1022453,"Y"
0,"U","SOUTH FLORIDA AREA",1017656,""
0.666666667,"Y","SOUTH FLORIDA AREA",1035526,"N"
0,"U","SOUTH FLORIDA AREA",1066788,"N"
0.333333333,"U","SOUTH FLORIDA AREA",1052441,"Y"
0,"U","SOUTH FLORIDA AREA",1030002,"Y"
0,"Y","SOUTH FLORIDA AREA",1016603,"N"
1,"N","SOUTH FLORIDA AREA",1004085,"N"
0,"Y","SOUTH FLORIDA AREA",1042497,"Y"
16,"U","SOUTH FLORIDA AREA",1080576,"Y"
0,"U","SOUTH FLORIDA AREA",1053373,"Y"
0,"U","SOUTH FLORIDA AREA",1057703,"Y"
0,"U","SOUTH FLORIDA AREA",1061814,"Y"
0.333333333,"U","SOUTH FLORIDA AREA",1086747,"Y"
0,"Y","SOUTH FLORIDA AREA",1018701,"Y"
0.333333333,"N","SOUTH FLORIDA AREA",1003559,"Y"
0,"U","SOUTH FLORIDA AREA",1070165,"Y"
0,"N","SOUTH FLORIDA AREA",1012904,"N"
5.333333333,"Y","SOUTH FLORIDA AREA",1042409,"N"
0,"U","SOUTH FLORIDA AREA",1026553,"N"
0,"U","SOUTH FLORIDA AREA",1047095,"N"
0,"N","SOUTH FLORIDA AREA",1015251,"Y"
0,"U","SOUTH FLORIDA AREA",1030786,"N"
0,"Y","SOUTH FLORIDA AREA",1008024,"Y"
1.333333333,"Y","SOUTH FLORIDA AREA",1007480,"Y"
2.333333333,"Y","SOUTH FLORIDA AREA",1071900,""
0.666666667,"U","SOUTH FLORIDA AREA",1089823,"Y"
0.333333333,"N","SOUTH FLORIDA AREA",1061315,"Y"
3,"U","SOUTH FLORIDA AREA",1031947,"Y"
0,"Y","SOUTH FLORIDA AREA",1029338,"N"
0,"U","SOUTH FLORIDA AREA",1043672,"Y"
0,"U","SOUTH FLORIDA AREA",1028006,"Y"
0,"U","SOUTH FLORIDA AREA",1095736,"Y"
0,"U","SOUTH FLORIDA AREA",1025480,"Y"
0,"Y","SOUTH FLORIDA AREA",1040960,"Y"
0,"U","SOUTH FLORIDA AREA",1039790,"Y"
14.66666667,"U","SOUTH FLORIDA AREA",1066785,"Y"
1.666666667,"U","SOUTH FLORIDA AREA",1089396,"N"
2.666666667,"U","SOUTH FLORIDA AREA",1081132,"N"
0.333333333,"Y","SOUTH FLORIDA AREA",1026404,"Y"
0.666666667,"U","SOUTH FLORIDA AREA",1076255,"Y"
0,"U","SOUTH FLORIDA AREA",1070526,"Y"
0,"U","SOUTH FLORIDA AREA",1044194,"Y"
