"custcare_Mean","new_cell","area","Customer_ID","creditcd"
0,"U","SOUTHWEST AREA",1097730,"N"
0.333333333,"U","SOUTHWEST AREA",1044329,"Y"
0,"N","SOUTHWEST AREA",1029191,"N"
0,"Y","SOUTHWEST AREA",1068005,"N"
0.666666667,"U","SOUTHWEST AREA",1091273,"N"
0,"U","SOUTHWEST AREA",1066597,""
0,"Y","SOUTHWEST AREA",1079231,"Y"
0,"Y","SOUTHWEST AREA",1028759,"Y"
0,"U","SOUTHWEST AREA",1040133,"Y"
2,"U","SOUTHWEST AREA",1082182,"Y"
4,"Y","SOUTHWEST AREA",1083816,"Y"
0,"U","SOUTHWEST AREA",1097898,"Y"
13,"N","SOUTHWEST AREA",1091896,"N"
9,"U","SOUTHWEST AREA",1094422,"Y"
5.333333333,"N","SOUTHWEST AREA",1024718,"N"
0,"U","SOUTHWEST AREA",1032524,"Y"
3,"U","SOUTHWEST AREA",1089547,"Y"
0,"U","SOUTHWEST AREA",1042656,"Y"
0.333333333,"U","SOUTHWEST AREA",1039062,"Y"
0,"Y","SOUTHWEST AREA",1059030,"Y"
0,"U","SOUTHWEST AREA",1085773,"N"
0.333333333,"U","SOUTHWEST AREA",1099334,"Y"
6.666666667,"U","SOUTHWEST AREA",1083101,"Y"
1.666666667,"Y","SOUTHWEST AREA",1067275,"N"
0,"U","SOUTHWEST AREA",1033407,"Y"
7.333333333,"U","SOUTHWEST AREA",1064705,"N"
12,"U","SOUTHWEST AREA",1097488,"N"
0,"U","SOUTHWEST AREA",1027106,"Y"
0,"Y","SOUTHWEST AREA",1043720,"N"
0,"U","SOUTHWEST AREA",1096486,"Y"
1.333333333,"U","SOUTHWEST AREA",1084183,"Y"
0,"U","SOUTHWEST AREA",1067409,"N"
0,"U","SOUTHWEST AREA",1020240,"Y"
0,"U","SOUTHWEST AREA",1091118,"Y"
1.666666667,"U","SOUTHWEST AREA",1075691,"N"
0,"Y","SOUTHWEST AREA",1097773,"Y"
0,"Y","SOUTHWEST AREA",1007136,"N"
0.333333333,"Y","SOUTHWEST AREA",1059006,"Y"
0,"U","SOUTHWEST AREA",1098201,"Y"
0,"U","SOUTHWEST AREA",1061881,"Y"
2.333333333,"N","SOUTHWEST AREA",1062255,"Y"
1,"U","SOUTHWEST AREA",1081693,"N"
0,"Y","SOUTHWEST AREA",1069978,"Y"
0,"U","SOUTHWEST AREA",1099405,"Y"
9.666666667,"U","SOUTHWEST AREA",1090388,"Y"
0,"U","SOUTHWEST AREA",1062986,"Y"
0,"U","SOUTHWEST AREA",1098960,"Y"
4.333333333,"U","SOUTHWEST AREA",1080723,"Y"
0.666666667,"Y","SOUTHWEST AREA",1098372,"Y"
0,"N","SOUTHWEST AREA",1007421,"N"
0,"U","SOUTHWEST AREA",1080466,"Y"
1.333333333,"Y","SOUTHWEST AREA",1052520,"N"
0,"U","SOUTHWEST AREA",1084946,"Y"
0.666666667,"U","SOUTHWEST AREA",1018289,"Y"
0,"Y","SOUTHWEST AREA",1041047,"N"
0,"N","SOUTHWEST AREA",1043055,"N"
13.33333333,"Y","SOUTHWEST AREA",1044843,"N"
0,"U","SOUTHWEST AREA",1020015,"Y"
0.333333333,"U","SOUTHWEST AREA",1034930,"Y"
0,"Y","SOUTHWEST AREA",1091894,"Y"
0,"U","SOUTHWEST AREA",1052722,"N"
0,"U","SOUTHWEST AREA",1048462,"N"
5,"Y","SOUTHWEST AREA",1080757,"Y"
1,"U","SOUTHWEST AREA",1051847,"Y"
0,"U","SOUTHWEST AREA",1070567,"Y"
2.666666667,"U","SOUTHWEST AREA",1059791,"N"
0,"U","SOUTHWEST AREA",1049062,"Y"
0,"U","SOUTHWEST AREA",1097583,"N"
0,"U","SOUTHWEST AREA",1091303,"Y"
0.333333333,"U","SOUTHWEST AREA",1037946,"Y"
0,"U","SOUTHWEST AREA",1054305,"Y"
0,"U","SOUTHWEST AREA",1047122,"N"
0,"U","SOUTHWEST AREA",1099839,"N"
0,"U","SOUTHWEST AREA",1022538,"Y"
