"custcare_Mean","new_cell","area","Customer_ID","creditcd"
0,"U","TENNESSEE AREA",1047767,"N"
5,"N","TENNESSEE AREA",1019471,"N"
3,"Y","TENNESSEE AREA",1060278,"Y"
0,"U","TENNESSEE AREA",1085161,"N"
0,"U","TENNESSEE AREA",1046324,"Y"
0,"Y","TENNESSEE AREA",1005411,"Y"
0,"U","TENNESSEE AREA",1007489,"N"
0,"U","TENNESSEE AREA",1074168,"Y"
0,"N","TENNESSEE AREA",1039146,"Y"
8.666666667,"U","TENNESSEE AREA",1014189,"Y"
0,"U","TENNESSEE AREA",1044974,"N"
2,"N","TENNESSEE AREA",1027781,""
5,"U","TENNESSEE AREA",1030474,"Y"
0,"U","TENNESSEE AREA",1013565,"Y"
5.666666667,"Y","TENNESSEE AREA",1090444,"Y"
19.66666667,"Y","TENNESSEE AREA",1068835,"N"
0,"N","TENNESSEE AREA",1074880,"Y"
0.333333333,"U","TENNESSEE AREA",1038199,"Y"
0,"Y","TENNESSEE AREA",1040142,"N"
0,"U","TENNESSEE AREA",1025353,"Y"
3.666666667,"U","TENNESSEE AREA",1039021,"Y"
0,"U","TENNESSEE AREA",1016256,"N"
0,"U","TENNESSEE AREA",1083039,"Y"
5.666666667,"N","TENNESSEE AREA",1075324,"Y"
2,"U","TENNESSEE AREA",1057498,"N"
0,"U","TENNESSEE AREA",1075483,"N"
0,"Y","TENNESSEE AREA",1070212,"N"
0,"N","TENNESSEE AREA",1093842,"Y"
3,"U","TENNESSEE AREA",1049406,"Y"
0,"U","TENNESSEE AREA",1080776,"N"
0,"N","TENNESSEE AREA",1080618,"Y"
8.666666667,"U","TENNESSEE AREA",1008721,"N"
0,"U","TENNESSEE AREA",1038200,"Y"
0.666666667,"N","TENNESSEE AREA",1000051,"Y"
0.333333333,"Y","TENNESSEE AREA",1016238,"Y"
0,"N","TENNESSEE AREA",1006009,"Y"
0,"U","TENNESSEE AREA",1073017,"N"
2,"U","TENNESSEE AREA",1087225,"Y"
0,"U","TENNESSEE AREA",1055627,"N"
0,"U","TENNESSEE AREA",1062646,"Y"
0.333333333,"U","TENNESSEE AREA",1044282,"Y"
0,"Y","TENNESSEE AREA",1012789,"Y"
1,"U","TENNESSEE AREA",1053819,"Y"
0,"N","TENNESSEE AREA",1045741,"Y"
7.333333333,"Y","TENNESSEE AREA",1047303,"Y"
0,"U","TENNESSEE AREA",1085718,"Y"
0,"U","TENNESSEE AREA",1061075,"Y"
2.666666667,"Y","TENNESSEE AREA",1096797,"N"
0,"N","TENNESSEE AREA",1030127,"Y"
0,"U","TENNESSEE AREA",1023005,"Y"
0,"U","TENNESSEE AREA",1096175,"Y"
5,"N","TENNESSEE AREA",1040417,"Y"
2.333333333,"U","TENNESSEE AREA",1014566,"Y"
6.333333333,"N","TENNESSEE AREA",1057397,"N"
0,"U","TENNESSEE AREA",1095788,"N"
0,"N","TENNESSEE AREA",1014770,"Y"
0,"N","TENNESSEE AREA",1005582,"Y"
0,"U","TENNESSEE AREA",1045411,"Y"
6.666666667,"Y","TENNESSEE AREA",1092360,"Y"
0,"U","TENNESSEE AREA",1089460,"N"
0,"N","TENNESSEE AREA",1024975,"N"
0,"N","TENNESSEE AREA",1091756,"Y"
0,"U","TENNESSEE AREA",1022959,"Y"
0,"N","TENNESSEE AREA",1005513,"N"
0.333333333,"U","TENNESSEE AREA",1075929,"N"
0,"U","TENNESSEE AREA",1015207,"Y"
0,"N","TENNESSEE AREA",1076750,"Y"
1.666666667,"Y","TENNESSEE AREA",1067303,"Y"
0,"U","TENNESSEE AREA",1054850,"Y"
